Function,Peripheral,MCU pin,AF/Mode,External device,Notes
MIC_BCLK,SAI1_A,PA8,AF13,4x I2S MEMS BCLK,shared clock
MIC_WS,SAI1_A,PA9,AF13,4x I2S MEMS WS,shared word select
MIC_PAIR_A,SAI1_A,PA10,AF13,MIC0+MIC1 DATA,opposite L/R selection
MIC_PAIR_B,SAI1_B,PB5,AF13,MIC2+MIC3 DATA,opposite L/R selection
BG95_TX,USART1,PB6,AF7,BG95 MAIN_RXD,through 3.3/1.8 V translator
BG95_RX,USART1,PB7,AF7,BG95 MAIN_TXD,through translator
BG95_PWRKEY,GPIO,PB1,output,BG95 PWRKEY,open-drain/transistor
BG95_RESET_N,GPIO,PB4,output,BG95 RESET_N,open-drain/transistor
BG95_STATUS,GPIO,PB15,input,BG95 STATUS,verify voltage domain
BG95_DTR,GPIO,PB12,output,BG95 DTR,sleep control
GNSS_TX,USART2,PA2,AF7,GNSS RXD,3.3 V
GNSS_RX,USART2,PA3,AF7,GNSS TXD,3.3 V
GNSS_PPS,TIM2_CH2,PB3,AF1,GNSS TIMEPULSE,input capture
BLE_TX,USART3,PB10,AF7,BLE RXD,3.3 V
BLE_RX,USART3,PB11,AF7,BLE TXD,3.3 V
SPI1_SCK,SPI1,PA5,AF5,SX1262+microSD SCK,shared bus
SPI1_MISO,SPI1,PA6,AF5,SX1262+microSD MISO,shared bus
SPI1_MOSI,SPI1,PA7,AF5,SX1262+microSD MOSI,shared bus
LORA_NSS,GPIO,PB0,output,SX1262 NSS,
LORA_DIO1,GPIO,PB2,EXTI,SX1262 DIO1,
LORA_BUSY,GPIO,PB8,input,SX1262 BUSY,
LORA_RESET,GPIO,PB9,output,SX1262 NRESET,
SD_NSS,GPIO,PA4,output,microSD CS,FAT32 32 GB
I2C_SCL,I2C2,PB13,AF4,power/temp sensors,
I2C_SDA,I2C2,PB14,AF4,power/temp sensors,
SWDIO,SWD,PA13,AF0,ST-Link,keep accessible
SWCLK,SWD,PA14,AF0,ST-Link,keep accessible
