Connector_ID,Assembly,Function,Board_MPN,Mating_Housing_MPN,Terminal_MPN,Positions,Wire,Temperature_C,Status,Release_Blockers,Evidence,Notes
CON-003,PCB-PWR,Battery protected-bus input,Molex_430450213,Molex_430250200,Molex_430300038,2,"18 AWG / 0.75 mm2","header -40..125; housing -40..105",SELECTED_PENDING_MECHANICS,"final orientation and service clearance; environmental limit; pull/thermal test","Molex Micro-Fit 3.0 official product data","Polarized/latching; 8.5 A/contact class; use gold-plated board header"
CON-004A,PCB-PWR,Power/control harness to PCB-MAIN,Molex_430451001,Molex_430251000,"Molex_430300038 power; Molex_430300001 control",10,"18 AWG power/grounds; 20-24 AWG control","header -40..125; housing -40..105",SELECTED_ELECTRICAL_PENDING_MECHANICS,"right-angle vs vertical orientation; pin-current allocation; housing envelope","Molex Micro-Fit 3.0 official product data","Same electrical family at both PCB ends; exact board orientation may change without changing pin contract"
CON-004B,PCB-MAIN,Power/control harness from PCB-PWR,Molex_430451001,Molex_430251000,"Molex_430300038 power; Molex_430300001 control",10,"18 AWG power/grounds; 20-24 AWG control","header -40..125; housing -40..105",SELECTED_ELECTRICAL_PENDING_MECHANICS,"right-angle vs vertical orientation; keepout/service access","Molex Micro-Fit 3.0 official product data","Pin order governed by HARNESS_LOGICAL_PINOUT_REV_A.csv"
CON-MIC,PCB-MAIN_and_PCB-MIC,"MIC1..MIC4 1V8/GND/PDM_CLK/PDM_DATA/MIC_WAKE",JST_BM05B-GHS-TBT_LF_SN,JST_GHR-05V-S,JST_SSHL-002T-P0.2,5,"30-26 AWG; matched harness electrical length","family release requires environment confirmation",SELECTED_PENDING_ENVIRONMENT_AND_SI,"final environmental range; harness length/skew; WAKE integrity; strain relief","JST GH official family/product data","1.25 mm locking GH; 5th contact preserves T5838 AAD WAKE; identical connector and pin order on all four microphone leaves"
CON-RF-CELL,PCB-MAIN,Cellular RF,Hirose_U.FL-R-SMT-1_60,U.FL_cable_assembly,TBD,1,50_ohm_coax,"connector family to verify against final environmental requirement",SELECTED_PENDING_RF_LAYOUT,"coax assembly/length; bulkhead antenna connector; VNA/VSWR","Hirose U.FL official product data","Reel suffix (60) selected for assembly; mating cycle 30"
CON-RF-GNSS,PCB-MAIN,GNSS RF,Hirose_U.FL-R-SMT-1_60,U.FL_cable_assembly,TBD,1,50_ohm_coax,"connector family to verify against final environmental requirement",SELECTED_PENDING_RF_LAYOUT,"active antenna bias arrangement; coax length; VNA/receiver sensitivity","Hirose U.FL official product data","Dedicated path separated from cellular/LoRa"
CON-RF-LORA,PCB-MAIN,LoRa RU868 RF,Hirose_U.FL-R-SMT-1_60,U.FL_cable_assembly,TBD,1,50_ohm_coax,"connector family to verify against final environmental requirement",SELECTED_PENDING_RF_LAYOUT,"coax assembly/length; 868 MHz antenna; conducted/radiated test","Hirose U.FL official product data","Dedicated U.FL; PI matching footprint retained"
CON-USB,PCB-MAIN,USB-C service/recovery,GCT_USB4105-GF-A-120,USB-C_cable,N/A,16,USB2,"-40..85",SELECTED_PENDING_MECHANICS_ENVIRONMENT,"stake length/board edge; service-cover seal; ESD; environment limit","GCT USB4105 active product family","USB2 only; exact 1.20 mm stake variant is provisional until PCB/mechanics fit check"
CON-SIM1,PCB-MAIN,Nano-SIM slot 1,TE_2336582-1,Nano_SIM,N/A,7,N/A,"-40..85",TECHNICALLY_SELECTED_PROCUREMENT_RISK,"TE page reports active but not currently available; second-source 4FF with DET required before release","TE Connectivity official product page","4FF push-push with card detect; never substitute 3FF micro-SIM"
CON-SIM2,PCB-MAIN,Nano-SIM slot 2,TE_2336582-1,Nano_SIM,N/A,7,N/A,"-40..85",TECHNICALLY_SELECTED_PROCUREMENT_RISK,"same as SIM1; source two identical slots for lot","TE Connectivity official product page","Both physical slots same connector/revision"
CON-SWD-MCU,PCB-MAIN,STM32 production/recovery SWD,TEST_PADS,Pogo_fixture,N/A,5,N/A,N/A,DFT_SELECTED,"pad pitch/fixture envelope after placement","Project DFT baseline","VTREF/SWDIO/SWCLK/NRST/GND always accessible"
CON-SWD-BLE,PCB-MAIN,nRF52840 module production/recovery SWD,TEST_PADS,Pogo_fixture,N/A,4,N/A,N/A,DFT_SELECTED,"module pin access and fixture envelope after placement","Raytac/nRF52840 programming requirement","Separate BLE SWDIO/SWCLK/VREF/GND pads; does not consume STM32 GPIO"
