Net,Function,MCU_Pin,LQFP100_Pin,CubeMX_Signal,AF,Direction_at_MCU,MCU_Domain,External_Domain,External_Device,Status,Evidence,Notes
PDM_CLK,Microphone common PDM clock,PE9,37,MDF1_CCK0,AF6,OUT,3V3,1V8,4x T5838,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Translate 3V3 to 1V8 through directional level translator; common fanout
PDM_DATA1,Microphone PDM data channel 1,PB1,33,MDF1_SDI0,AF6,IN,3V3,1V8,T5838 MIC1,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Translate 1V8 to 3V3
PDM_DATA2,Microphone PDM data channel 2,PD6,87,MDF1_SDI1,AF6,IN,3V3,1V8,T5838 MIC2,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Translate 1V8 to 3V3
PDM_DATA3,Microphone PDM data channel 3,PE7,35,MDF1_SDI2,AF6,IN,3V3,1V8,T5838 MIC3,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Translate 1V8 to 3V3
PDM_DATA4,Microphone PDM data channel 4,PE4,3,MDF1_SDI3,AF6,IN,3V3,1V8,T5838 MIC4,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Translate 1V8 to 3V3
MIC_WAKE,Aggregated T5838 Acoustic Activity Detect wake,PA8,67,GPIO,GPIO,IN,3V3,3V3,"U18 SN74AXC1T45 from U17 OR of MIC_WAKE1..4",DATASHEET_VERIFIED_CUBEMX_PENDING,"DS13086 Rev10 Figure 14 LQFP100_SMPS pinout + STM32U585VITxQ exact pin DB","EXTI/wake source; T5838 WAKE signals remain individual at harness then OR at 1.8 V and translate to 3.3 V; verify Stop-mode wake in CubeMX"
NOR_CLK,QSPI NOR clock,PE10,38,OCTOSPIM_P1_CLK,AF10,OUT,3V3,3V3,W25Q512JVFIQ,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
NOR_NCS,QSPI NOR chip select,PE11,39,OCTOSPIM_P1_NCS,AF10,OUT,3V3,3V3,W25Q512JVFIQ,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
NOR_IO0,QSPI NOR IO0,PE12,40,OCTOSPIM_P1_IO0,AF10,BIDIR,3V3,3V3,W25Q512JVFIQ,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
NOR_IO1,QSPI NOR IO1,PE13,41,OCTOSPIM_P1_IO1,AF10,BIDIR,3V3,3V3,W25Q512JVFIQ,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
NOR_IO2,QSPI NOR IO2,PE14,42,OCTOSPIM_P1_IO2,AF10,BIDIR,3V3,3V3,W25Q512JVFIQ,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
NOR_IO3,QSPI NOR IO3,PE15,43,OCTOSPIM_P1_IO3,AF10,BIDIR,3V3,3V3,W25Q512JVFIQ,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_D0,microSD data 0,PC8,65,SDMMC1_D0,AF12,BIDIR,3V3,3V3,microSD,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_D1,microSD data 1,PC9,66,SDMMC1_D1,AF12,BIDIR,3V3,3V3,microSD,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_D2,microSD data 2,PC10,78,SDMMC1_D2,AF12,BIDIR,3V3,3V3,microSD,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_D3,microSD data 3,PC11,79,SDMMC1_D3,AF12,BIDIR,3V3,3V3,microSD,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_CK,microSD clock,PC12,80,SDMMC1_CK,AF12,OUT,3V3,3V3,microSD,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_CMD,microSD command,PD2,83,SDMMC1_CMD,AF12,BIDIR,3V3,3V3,microSD,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
SD_DET,microSD card detect,PC13,7,GPIO,GPIO,IN,3V3,CONTACT,microSD socket,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml,Slow GPIO suitable for detect
GNSS_TX,GNSS UART transmit,PA2,24,USART2_TX,AF7,OUT,3V3,3V3,MAX-M10S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,MCU TX to GNSS RX
GNSS_RX,GNSS UART receive,PA3,25,USART2_RX,AF7,IN,3V3,3V3,MAX-M10S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,GNSS TX to MCU RX
GNSS_PPS,GNSS TIMEPULSE timestamp,PA0,22,TIM2_CH1,AF1,IN,3V3,3V3,MAX-M10S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,Timer input capture
LORA_NSS,LoRa SPI chip select,PA4,28,SPI1_NSS,AF5,OUT,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
LORA_SCK,LoRa SPI clock,PA5,29,SPI1_SCK,AF5,OUT,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
LORA_MISO,LoRa SPI MISO,PA6,30,SPI1_MISO,AF5,IN,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
LORA_MOSI,LoRa SPI MOSI,PA7,31,SPI1_MOSI,AF5,OUT,3V3,3V3,E22-900M22S,DATASHEET_VERIFIED_CUBEMX_PENDING,STM32U585VITxQ.xml + DS13086 Rev10,
