Harness_ID,Conductor_ID,From_Assembly,From_Connector,From_Cavity,To_Assembly,To_Connector,To_Cavity,Net,Wire_Gauge,Wire_Color,Routing_Rule,From_Terminal_MPN,To_Terminal_MPN,Cut_Length_mm,Length_Tolerance_mm,End_Label,Continuity_Test,Release_Status,Release_Blocker
H-MIC1,MIC1-01,PCB-MAIN,J_MIC1_MATING_5040510601,1,PCB-MIC1,J1_MATING_5040510601,1,1V8_MIC,AWG24_TE_55A0111-24_OD0P94MM,RED,BUNDLE_WITH_GND,5040520098,5040520098,275,5,MIC1-A__MIC1-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC1,MIC1-02,PCB-MAIN,J_MIC1_MATING_5040510601,2,PCB-MIC1,J1_MATING_5040510601,2,GND,AWG24_TE_55A0111-24_OD0P94MM,BLACK,COMMON_RETURN_ADJACENT_TO_SIGNAL_GROUP,5040520098,5040520098,275,5,MIC1-A__MIC1-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC1,MIC1-03,PCB-MAIN,J_MIC1_MATING_5040510601,3,PCB-MIC1,J1_MATING_5040510601,3,PDM_CLK,AWG24_TE_55A0111-24_OD0P94MM,WHITE,KEEP_ADJACENT_TO_GND_AVOID_DATA_PARALLEL_RUN,5040520098,5040520098,275,5,MIC1-A__MIC1-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC1,MIC1-04,PCB-MAIN,J_MIC1_MATING_5040510601,4,PCB-MIC1,J1_MATING_5040510601,4,PDM_DATA1,AWG24_TE_55A0111-24_OD0P94MM,BLUE,KEEP_ADJACENT_TO_GND_AVOID_CLK_PARALLEL_RUN,5040520098,5040520098,275,5,MIC1-A__MIC1-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC1,MIC1-05,PCB-MAIN,J_MIC1_MATING_5040510601,5,PCB-MIC1,J1_MATING_5040510601,5,MIC_WAKE1,AWG24_TE_55A0111-24_OD0P94MM,VIOLET,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC1-A__MIC1-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC1,MIC1-06,PCB-MAIN,J_MIC1_MATING_5040510601,6,PCB-MIC1,J1_MATING_5040510601,6,AAD_CFG,AWG24_TE_55A0111-24_OD0P94MM,GREY,KEEP_ADJACENT_TO_GND_AVOID_CLK_CROSSTALK,5040520098,5040520098,275,5,MIC1-A__MIC1-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC2,MIC2-01,PCB-MAIN,J_MIC2_MATING_5040510601,1,PCB-MIC2,J1_MATING_5040510601,1,1V8_MIC,AWG24_TE_55A0111-24_OD0P94MM,RED,BUNDLE_WITH_GND,5040520098,5040520098,275,5,MIC2-A__MIC2-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC2,MIC2-02,PCB-MAIN,J_MIC2_MATING_5040510601,2,PCB-MIC2,J1_MATING_5040510601,2,GND,AWG24_TE_55A0111-24_OD0P94MM,BLACK,COMMON_RETURN_ADJACENT_TO_SIGNAL_GROUP,5040520098,5040520098,275,5,MIC2-A__MIC2-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC2,MIC2-03,PCB-MAIN,J_MIC2_MATING_5040510601,3,PCB-MIC2,J1_MATING_5040510601,3,PDM_CLK,AWG24_TE_55A0111-24_OD0P94MM,WHITE,KEEP_ADJACENT_TO_GND_AVOID_DATA_PARALLEL_RUN,5040520098,5040520098,275,5,MIC2-A__MIC2-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
H-MIC2,MIC2-04,PCB-MAIN,J_MIC2_MATING_5040510601,4,PCB-MIC2,J1_MATING_5040510601,4,PDM_DATA2,AWG24_TE_55A0111-24_OD0P94MM,YELLOW,KEEP_ADJACENT_TO_GND_AVOID_CLK_PARALLEL_RUN,5040520098,5040520098,275,5,MIC2-A__MIC2-B,100_PERCENT_PIN_TO_PIN_NO_CROSS_SHORTS,EVT_BUILD_RELEASED_FIRST_ARTICLE_REQUIRED,EVT installed-route PDM AAD strain-relief validation
