RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,1,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias; preserve the Raytac land pattern,Raytac_MDBT50Q-P1MV2_Ver.L,First module ground pad
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,2,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias; preserve the Raytac land pattern,Raytac_MDBT50Q-P1MV2_Ver.L,Module ground pad
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,3,P1.10,DIGITAL_IO,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO is unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,4,P1.11,DIGITAL_IO,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO is unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,5,P1.12,DIGITAL_IO,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO is unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,6,P1.13,DIGITAL_IO,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO is unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,7,P1.14,DIGITAL_IO,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO is unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,8,P1.15,DIGITAL_IO,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO is unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,9,P0.03/AIN1,DIGITAL_IO_ANALOG,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO and analog input are unused
U11,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,10,P0.29/AIN5,DIGITAL_IO_ANALOG,NC,UNUSED_LOW_FREQ_GPIO_NC,No copper connection and explicit no-connect marker,Raytac_MDBT50Q-P1MV2_Ver.L,RF-adjacent standard-drive low-frequency-only GPIO and analog input are unused
