RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U8,BG95-M3,LGA-102_23.6x19.9mm,1,PSM_IND,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,PSM indication is not consumed in Rev.A
U8,BG95-M3,LGA-102_23.6x19.9mm,2,ADC1,INPUT,NC,UNUSED_INPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,ADC1 is unused and must not be used with ADC0
U8,BG95-M3,LGA-102_23.6x19.9mm,3,GND,POWER,GND_MODEM,GROUND_LOCKED,Direct low-impedance ground-plane connection,Quectel_BG95_HW_Design_v1.6,One of twenty-eight module ground pads
U8,BG95-M3,LGA-102_23.6x19.9mm,4,PCM_CLK,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Voice PCM is unused
U8,BG95-M3,LGA-102_23.6x19.9mm,5,PCM_SYNC,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Voice PCM is unused
U8,BG95-M3,LGA-102_23.6x19.9mm,6,PCM_DIN,INPUT,NC,UNUSED_INPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Voice PCM is unused
U8,BG95-M3,LGA-102_23.6x19.9mm,7,PCM_DOUT,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Voice PCM is unused
U8,BG95-M3,LGA-102_23.6x19.9mm,8,USB_VBUS,INPUT,CELL_USB_VBUS,FIXTURE_ENDPOINT_LOCKED,Direct only to TP_CELL_USB contact 1; never join J11 USB_VBUS_CONN or a station rail; exact protection remains MAIN-AUTH-010,PCB_MAIN_CONNECTOR_FIXTURE_PIN_AUTHORITY_REV_A,Exact U8 USB VBUS recovery endpoint is fixed by MAIN-AUTH-009
U8,BG95-M3,LGA-102_23.6x19.9mm,9,USB_DP,BIDIR,CELL_USB_DP,FIXTURE_ENDPOINT_LOCKED,90 Ohm differential pair only to TP_CELL_USB contact 2; never join J11 USB_DP; exact protection remains MAIN-AUTH-010,PCB_MAIN_CONNECTOR_FIXTURE_PIN_AUTHORITY_REV_A,Exact U8 USB D+ recovery endpoint is fixed by MAIN-AUTH-009
U8,BG95-M3,LGA-102_23.6x19.9mm,10,USB_DM,BIDIR,CELL_USB_DM,FIXTURE_ENDPOINT_LOCKED,90 Ohm differential pair only to TP_CELL_USB contact 3; never join J11 USB_DM; exact protection remains MAIN-AUTH-010,PCB_MAIN_CONNECTOR_FIXTURE_PIN_AUTHORITY_REV_A,Exact U8 USB D- recovery endpoint is fixed by MAIN-AUTH-009
U8,BG95-M3,LGA-102_23.6x19.9mm,11,RESERVED,NC,NC,RESERVED_DNU_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Reserved pad must remain open
U8,BG95-M3,LGA-102_23.6x19.9mm,12,RESERVED,NC,NC,RESERVED_DNU_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Reserved pad must remain open
U8,BG95-M3,LGA-102_23.6x19.9mm,13,RESERVED,NC,NC,RESERVED_DNU_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Reserved pad must remain open
U8,BG95-M3,LGA-102_23.6x19.9mm,14,RESERVED,NC,NC,RESERVED_DNU_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Reserved pad must remain open
U8,BG95-M3,LGA-102_23.6x19.9mm,15,PWRKEY,INPUT,U8_PWRKEY_N,FUNCTION_LOCKED,Open-collector Q1 plus 10 nF to GND_MODEM and Review A test point,Quectel_BG95_HW_Design_v1.6,Active LOW; 500-1000 ms power-on pulse; never hold LOW permanently
U8,BG95-M3,LGA-102_23.6x19.9mm,16,RESERVED,NC,NC,RESERVED_DNU_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Reserved pad must remain open
U8,BG95-M3,LGA-102_23.6x19.9mm,17,RESET_N,INPUT,U8_RESET_N,FUNCTION_LOCKED,Open-collector Q2 and Review A test point; no large capacitance,Quectel_BG95_HW_Design_v1.6,Active LOW 2-3.8 s emergency reset; internally connected to PWRKEY
U8,BG95-M3,LGA-102_23.6x19.9mm,18,W_DISABLE#,INPUT,NC,UNUSED_INPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Airplane-mode pin is unused and left open
U8,BG95-M3,LGA-102_23.6x19.9mm,19,AP_READY,INPUT,NC,UNUSED_INPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,AP sleep handshake is unused
U8,BG95-M3,LGA-102_23.6x19.9mm,20,STATUS,OUTPUT,U8_STATUS_1V8,FUNCTION_LOCKED,Direct to U16 A2 pin 4; no external pull-up,Quectel_BG95_HW_Design_v1.6,High only after module power-up; governs safe rail removal
U8,BG95-M3,LGA-102_23.6x19.9mm,21,NET_STATUS,OUTPUT,NC,UNUSED_OUTPUT_NC,No electrical connection,Quectel_BG95_HW_Design_v1.6,Network LED output is unused
