RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U12,SDCIT2/32GB,microSD_card_8_contact,1,DAT2,BIDIR,SD_D2,CARD_CONTACT_LOCKED,Direct through J12 contact 1 to STM32 PC10 pin 78; exact series and pull network remains MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Industrial pSLC-mode card; incoming CID full-write readback temperature and power-loss tests remain mandatory
U12,SDCIT2/32GB,microSD_card_8_contact,2,CD/DAT3,BIDIR,SD_D3,CARD_CONTACT_LOCKED,Direct through J12 contact 2 to STM32 PC11 pin 79; exact series and pull network remains MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Four-bit SDMMC1 only in Rev.A
U12,SDCIT2/32GB,microSD_card_8_contact,3,CMD,BIDIR,SD_CMD,CARD_CONTACT_LOCKED,Direct through J12 contact 3 to STM32 PD2 pin 83; exact series and pull network remains MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Command endpoint
U12,SDCIT2/32GB,microSD_card_8_contact,4,VDD,POWER,3V3_DIGITAL,CARD_SUPPLY_LOCKED,Socket supply from 3V3_DIGITAL with local decoupling and protection owned by MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Card operates from the Rev.A 3.3 V digital rail
U12,SDCIT2/32GB,microSD_card_8_contact,5,CLK,INPUT,SD_CK,CARD_CONTACT_LOCKED,Direct through J12 contact 5 from STM32 PC12 pin 80; source damping remains MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Clock endpoint
U12,SDCIT2/32GB,microSD_card_8_contact,6,VSS,POWER,GND,CARD_GROUND_LOCKED,Direct low-impedance ground,Kingston_SDCIT2_plus_SD_contact_convention,Card ground
U12,SDCIT2/32GB,microSD_card_8_contact,7,DAT0,BIDIR,SD_D0,CARD_CONTACT_LOCKED,Direct through J12 contact 7 to STM32 PC8 pin 65; exact series and pull network remains MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Data zero endpoint
U12,SDCIT2/32GB,microSD_card_8_contact,8,DAT1,BIDIR,SD_D1,CARD_CONTACT_LOCKED,Direct through J12 contact 8 to STM32 PC9 pin 66; exact series and pull network remains MAIN-AUTH-010,Kingston_SDCIT2_plus_SD_contact_convention,Data one endpoint
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,1,DAT2,BIDIR,SD_D2,SOCKET_CONTACT_LOCKED,Exact mate of U12 contact 1; connector-side ESD and support network remain MAIN-AUTH-010,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,2,CD/DAT3,BIDIR,SD_D3,SOCKET_CONTACT_LOCKED,Exact mate of U12 contact 2; connector-side ESD and support network remain MAIN-AUTH-010,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,3,CMD,BIDIR,SD_CMD,SOCKET_CONTACT_LOCKED,Exact mate of U12 contact 3; connector-side ESD and support network remain MAIN-AUTH-010,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,4,VDD,POWER,3V3_DIGITAL,SOCKET_SUPPLY_LOCKED,Exact mate of U12 contact 4; local decoupling and protection remain MAIN-AUTH-010,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,5,CLK,OUTPUT,SD_CK,SOCKET_CONTACT_LOCKED,Exact mate of U12 contact 5; source damping remains MAIN-AUTH-010,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,6,VSS,POWER,GND,SOCKET_GROUND_LOCKED,Direct low-impedance ground,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
J12,MEM2052-00-195-00-A,microSD_push-push_1.95mm_8P_CD,7,DAT0,BIDIR,SD_D0,SOCKET_CONTACT_LOCKED,Exact mate of U12 contact 7; connector-side ESD and support network remain MAIN-AUTH-010,GCT_MEM2052_official_product_data,Mechanical access and orientation remain MAIN-AUTH-011
