RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,1,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,u-blox_UBX-20035208_R08,First module ground terminal
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,2,TXD,OUTPUT,GNSS_RX,FUNCTION_LOCKED,22 Ohm populated series tuning position at U9; no pull-down; MCU input remains high impedance,u-blox_UBX-20035208_R08,Module UART TX terminates at STM32 PA3 USART2_RX
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,3,RXD,INPUT,GNSS_TX,FUNCTION_LOCKED,22 Ohm populated source-series tuning position at STM32; no external pull,u-blox_UBX-20035208_R08,Module UART RX is driven by STM32 PA2 USART2_TX
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,4,TIMEPULSE,OUTPUT,GNSS_PPS,FUNCTION_LOCKED,22 Ohm populated source-series tuning position at U9 plus high-impedance test point; no pull-up or pull-down,u-blox_UBX-20053088_R05,Terminates at STM32 PA0 TIM2_CH1; any load that can pull LOW at startup is prohibited
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,5,EXTINT,INPUT,NC,UNUSED_INPUT_NC,No electrical connection,u-blox_UBX-20035208_R08,Three-pin antenna supervisor uses PIO2 and PIO3 instead
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,6,V_BCKP,POWER,NC,OPTIONAL_BACKUP_NC,No external backup source and no capacitor-only substitute,u-blox_UBX-20053088_R05,Rev.A relies on continuous 3V3 operation or cold restart and host time assistance after total power loss
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,7,V_IO,POWER,3V3_DIGITAL,SUPPLY_LOCKED,Direct common 3.3 V supply with U9 VCC; local 100 nF bypass; never exceed VCC plus 0.3 V,u-blox_UBX-20053088_R05,Fixes the 3.3 V digital-interface option
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,8,VCC,POWER,3V3_DIGITAL,SUPPLY_LOCKED,Local 100 nF plus 10 uF; total series resistance at most 0.2 Ohm; rail supports 100 mA startup inrush,u-blox_UBX-20053088_R05,Main core and RF supply
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,9,RESET_N,INPUT,NC,UNUSED_RESET_NC,No electrical connection and no capacitor to ground,u-blox_UBX-20053088_R05,Recovery uses UBX reset; hardware RESET_N would clear RTC and BBR and force a cold start
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,10,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,u-blox_UBX-20035208_R08,Digital-side module ground terminal
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,11,RF_IN,INPUT,GNSS_RF_FILTERED,RF_INPUT_LOCKED,50 Ohm controlled-impedance route from populated external wideband GNSS SAW; route as short as possible,u-blox_UBX-20053088_R05,DC blocked internally but external 47 pF C0G is retained ahead of the cellular-immunity SAW
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,12,GND,POWER,GND,GROUND_LOCKED,Direct low-inductance RF ground with via fence,u-blox_UBX-20035208_R08,RF-side module ground terminal
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,13,LNA_EN,OUTPUT,GNSS_ANT_OFF_N,ANTENNA_SUPERVISOR_LOCKED,Drive the three-pin active-antenna high-side switch per u-blox Figure 38; HIGH enables antenna supply,u-blox_UBX-20053088_R05,PIO7 default ANT_OFF_N function also controls the internal LNA
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,14,VCC_RF,POWER_OUTPUT,GNSS_ANT_BIAS_RAW,RF_SUPPLY_OUTPUT_LOCKED,Filtered VCC-derived source for the antenna-supervisor switch; output current at most 50 mA,u-blox_UBX-20035208_R08,Nominal output is VCC minus 0.1 V
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,15,VIO_SEL,INPUT,NC,STRAP_OPEN_3V3,No copper connection and explicit no-connect marker,u-blox_UBX-20035208_R08,Open selects the 2.7 to 3.6 V V_IO range
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,16,SDA,INPUT,GNSS_ANT_DETECT,ANTENNA_SUPERVISOR_LOCKED,PIO2 reassigned to active-HIGH ANT_DETECT from the Figure 38 comparator; I2C disabled before reassignment,u-blox_UBX-20053088_R05,Open-circuit antenna diagnostic; not an I2C endpoint in Rev.A
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,17,SCL,INPUT,GNSS_ANT_SHORT_N,ANTENNA_SUPERVISOR_LOCKED,PIO3 reassigned to active-LOW ANT_SHORT_N from the Figure 38 current-sense path; I2C disabled before reassignment,u-blox_UBX-20053088_R05,Short-circuit diagnostic and automatic antenna-power recovery input
U9,MAX-M10S-00B,LCC-18_9.7x10.1mm,18,SAFEBOOT_N,INPUT,NC,UNUSED_SERVICE_NC,No trace test pad pull-up pull-down or capacitor,u-blox_UBX-20053088_R05,Internally connected to TIMEPULSE through 1 kOhm; LOW at startup would enter safeboot
J9,U.FL-R-SMT-1(60),U.FL_SMT,1,SIGNAL,RF_BIDIR,GNSS_RF_ANT_BIASED,RF_CONTACT_LOCKED,Connector-side ultra-low-capacitance ESD; 27 nH bias-T injection; 47 pF C0G DC block then populated external wideband GNSS SAW,Hirose_U.FL-R-SMT-1_60,Active-antenna DC bias shares the center conductor; cable and antenna remain separate system BOM lines
J9,U.FL-R-SMT-1(60),U.FL_SMT,SHIELD,SHELL,GND,GND,SHIELD_GROUND_LOCKED,Both manufacturer ground terminals and shell group connect to uninterrupted RF ground with via fence,Hirose_U.FL-R-SMT-1_60,Exact placement and service orientation remain MAIN-AUTH-011
