LQFP100_Pin,Pin_Name,Pin_Type,RevA_Net,Disposition,Authority,Notes
1,PE2,IO,SIM_MUX_EN,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,SIM mux enable
2,PE3,IO,SIM1_DET,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,SIM1 detect
3,PE4,IO,PDM_DATA4,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Microphone channel 4 data
4,PE5,IO,SIM2_DET,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,SIM2 detect
5,PE6,IO,BLE_EN,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,BLE enable or reset request
6,VBAT,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,No backup battery; tie to VDD with local 100 nF
7,PC13,IO,SD_DET,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,microSD card detect
8,PC14-OSC32_IN (PC14),IO,LSE_IN,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,SiT1552 output drives OSC32_IN
9,PC15-OSC32_OUT (PC15),IO,NC,FUNCTION_RESERVED_EXTERNAL_NC,ST_DS13086_REVA,Reserved by RCC external-clock mode but physically unconnected
10,VSS,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,Digital ground
11,VDD,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,100 nF at this VDD pin plus package bulk 10 uF
12,PH0-OSC_IN (PH0),IO,NC,HSE_FORBIDDEN_NC,CLOCKING_REV_A,No HSE crystal oscillator capacitors or footprint
13,PH1-OSC_OUT (PH1),IO,NC,HSE_FORBIDDEN_NC,CLOCKING_REV_A,No HSE crystal oscillator capacitors or footprint
14,NRST,RESET,NRST,RESET_LOCKED,ST_DS13086_AN5373_REVA,External reset and SWD fixture endpoint
15,PC0,IO,TEST_UART_RX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Production diagnostic UART receive
16,PC1,IO,TEST_UART_TX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Production diagnostic UART transmit
17,PC2,IO,LORA_DIO1,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa interrupt
18,PC3,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
19,VSSA,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,Analog ground
20,VREF+,REFERENCE_IN,3V3_DIGITAL,REFERENCE_LOCKED,ST_DS13086_AN5373_REVA,Tie to VDDA and 3V3_DIGITAL; local 100 nF plus 1 uF; VREFBUF disabled
21,VDDA,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,Direct single-supply connection; local 100 nF plus 1 uF
22,PA0,IO,GNSS_PPS,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,GNSS TIMEPULSE timer input
23,PA1,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
24,PA2,IO,GNSS_TX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,MCU transmit to GNSS
25,PA3,IO,GNSS_RX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,MCU receive from GNSS
26,VSS,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,Digital ground
27,VDD,POWER_IN,3V3_DIGITAL,SUPPLY_LOCKED,ST_DS13086_AN5373_REVA,100 nF at this VDD pin
28,PA4,IO,LORA_NSS,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa SPI chip select
29,PA5,IO,LORA_SCK,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa SPI clock
30,PA6,IO,LORA_MISO,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa SPI MISO
31,PA7,IO,LORA_MOSI,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,LoRa SPI MOSI
32,PB0,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
33,PB1,IO,PDM_DATA1,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Microphone channel 1 data
34,PB2,IO,BLE_DFU_REQ,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,BLE DFU request
35,PE7,IO,PDM_DATA3,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Microphone channel 3 data
36,PE8,IO,NC,UNUSED_GPIO_NC,REVA_MCU_PIN_AUTHORITY,Unused GPIO
37,PE9,IO,PDM_CLK,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,Common microphone clock
38,PE10,IO,NOR_CLK,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,NOR clock
39,PE11,IO,NOR_NCS,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,NOR chip select
40,PE12,IO,NOR_IO0,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,NOR data 0
41,PE13,IO,NOR_IO1,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,NOR data 1
42,PE14,IO,NOR_IO2,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,NOR data 2
43,PE15,IO,NOR_IO3,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,NOR data 3
44,PB10,IO,BLE_TX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,BLE service UART transmit
45,PB11,IO,BLE_RX,FUNCTION_LOCKED,EVT_PRE_20_PIN_MAP_REV_A,BLE service UART receive
46,VLXSMPS,POWER_SWITCH,SMPS_SW,SMPS_LOCKED,ST_DS13086_AN5373_REVA,Connect only through 2.2 uH inductor to both VDD11 pins
47,VDDSMPS,POWER_IN,3V3_DIGITAL,SMPS_LOCKED,ST_DS13086_AN5373_REVA,Local 10 uF low-ESR capacitor rated at least 10 V
48,VSSSMPS,GROUND,GND,GROUND_LOCKED,ST_DS13086_AN5373_REVA,SMPS power ground
49,VDD11,POWER_OUT,VCORE_1V1,SMPS_LOCKED,ST_DS13086_AN5373_REVA,One of two joined VDD11 pins; 2.2 uF and optional 100 nF to VSSSMPS
