Record_ID,Feature_Type,RefDes,Contact,Side,Anchor_Definition,X_mm,Y_mm,Rotation_deg,Geometry,Extent_X_mm,Extent_Y_mm,Z_Min_mm,Z_Max_mm,Access_Direction,Layer_Scope,Clearance_Rule,Disposition,Authority,Notes
MECH-001,BOARD_OUTLINE,PCB-MAIN,ALL,ALL,LOWER_LEFT,0.00,0.00,0,ROUNDED_RECT_R3,110.00,75.00,0.00,1.60,N/A,Edge.Cuts,EDGE_COPPER_0.50_COMPONENT_1.00,LOCKED_CAPTURE_INPUT,MAIN-AUTH-011,Four tangent R3 corners and no slots or cutouts
MECH-002,ASSEMBLED_ENVELOPE,PCB-MAIN,ALL,ALL,LOWER_LEFT,0.00,0.00,0,RECT,110.00,75.00,0.00,12.00,N/A,MECHANICAL,REMOVABLE_MATES_AND_SERVICE_SWEEPS_EXCLUDED,LOCKED_ALLOCATION_PENDING_STEP_CHECK,MAIN-AUTH-011,Conservative PCBA body envelope for enclosure input and must be checked against native STEP
MECH-003,MOUNTING_HOLE,H1,NPTH,ALL,CENTER,5.00,5.00,0,CIRCLE_D3.2,3.20,3.20,0.00,1.60,UP_Z,ALL_COPPER,NO_COPPER_D8.0_NO_COMPONENT_D10.0,LOCKED_NPTH,MAIN-AUTH-011,M3 clearance hole with no plated barrel
MECH-004,MOUNTING_HOLE,H2,NPTH,ALL,CENTER,105.00,5.00,0,CIRCLE_D3.2,3.20,3.20,0.00,1.60,UP_Z,ALL_COPPER,NO_COPPER_D8.0_NO_COMPONENT_D10.0,LOCKED_NPTH,MAIN-AUTH-011,M3 clearance hole with no plated barrel
MECH-005,MOUNTING_HOLE,H3,NPTH,ALL,CENTER,105.00,70.00,0,CIRCLE_D3.2,3.20,3.20,0.00,1.60,UP_Z,ALL_COPPER,NO_COPPER_D8.0_NO_COMPONENT_D10.0,LOCKED_NPTH,MAIN-AUTH-011,M3 clearance hole with no plated barrel
MECH-006,MOUNTING_HOLE,H4,NPTH,ALL,CENTER,5.00,70.00,0,CIRCLE_D3.2,3.20,3.20,0.00,1.60,UP_Z,ALL_COPPER,NO_COPPER_D8.0_NO_COMPONENT_D10.0,LOCKED_NPTH,MAIN-AUTH-011,M3 clearance hole with no plated barrel
MECH-007,CONNECTOR_PLACEMENT,J_PWR,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,0.00,13.00,90,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_WEST,TOP_AND_THT,STRAIGHT_PULL_35_BEND_AFTER_25,LOCKED_ORIENTATION,MAIN-AUTH-011,Molex 43045-1202 right-angle header entirely inboard except mating interface
MECH-008,CONNECTOR_PLACEMENT,J_MIC1,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,0.00,30.00,90,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_WEST,TOP,STRAIGHT_PULL_20_BEND_AFTER_10,LOCKED_ORIENTATION,MAIN-AUTH-011,Molex 504050-0691 right-angle latch accessible from service volume
MECH-009,CONNECTOR_PLACEMENT,J_MIC2,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,40.00,75.00,0,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_NORTH,TOP,STRAIGHT_PULL_20_BEND_AFTER_10,LOCKED_ORIENTATION,MAIN-AUTH-011,Molex 504050-0691 right-angle latch accessible from service volume
MECH-010,CONNECTOR_PLACEMENT,J_MIC3,ALL,TOP,MATING_FACE_CENTER_ON_EDGE,92.00,75.00,0,MANUFACTURER_LAND_PATTERN,0.00,0.00,1.60,12.00,OUTBOARD_NORTH,TOP,STRAIGHT_PULL_20_BEND_AFTER_10,LOCKED_ORIENTATION,MAIN-AUTH-011,Molex 504050-0691 right-angle latch accessible from service volume
