RefDes,Pin,Logical_Net,Native_Net,Source_Element,Reason
U1,15,TEST_UART_RX,TEST_UART_RX_U1,R102,MCU side of production UART RX series link
U1,16,TEST_UART_TX,TEST_UART_TX_U1,R101,MCU side of production UART TX series link
U1,22,GNSS_PPS,GNSS_PPS_U1,R58,MCU side of GNSS TIMEPULSE series link
U1,24,GNSS_TX,GNSS_TX_U1,R57,MCU side of GNSS RX series link
U1,25,GNSS_RX,GNSS_RX_U1,R56,MCU side of GNSS TX series link
U1,28,LORA_NSS,LORA_NSS_U1,R69,MCU side of LoRa NSS series link
U1,29,LORA_SCK,LORA_SCK_U1,R70,MCU side of LoRa SCK series link
U1,30,LORA_MISO,LORA_MISO_U1,R72,MCU side of LoRa MISO series link
U1,31,LORA_MOSI,LORA_MOSI_U1,R71,MCU side of LoRa MOSI series link
U1,38,NOR_CLK,NOR_CLK_U1,R8,MCU side of OCTOSPI clock series link
U1,39,NOR_NCS,NOR_NCS_U2,R7,Direct NOR chip-select net with device-side pull-up
U1,40,NOR_IO0,NOR_IO0_U1,R9,MCU side of OCTOSPI IO0 series link
U1,41,NOR_IO1,NOR_IO1_U1,R10,MCU side of OCTOSPI IO1 series link
U1,42,NOR_IO2,NOR_IO2_U1,R11,MCU side of OCTOSPI IO2 series link
U1,43,NOR_IO3,NOR_IO3_U1,R12,MCU side of OCTOSPI IO3 series link
U1,44,BLE_TX,BLE_TX_U1,R75,MCU side of BLE UART TX series link
U1,45,BLE_RX,BLE_RX_U1,R74,MCU side of BLE UART RX series link
U1,52,I2C2_SCL,I2C2_SCL_U1,R15,MCU side of I2C2 SCL damping resistor
U1,53,I2C2_SDA,I2C2_SDA_U1,R16,MCU side of I2C2 SDA damping resistor
U1,60,CELL_STATUS,CELL_STATUS_U16,R34,Shared MCU-side modem status net at U16
U1,61,CELL_DTR,CELL_DTR_U16,R29,Shared MCU-side modem DTR net at U16
U1,62,CELL_RI,CELL_RI_U16,R33,Shared MCU-side modem RI net at U16
U1,64,TAMPER_IN,TAMPER_IN_U1,R100,MCU side of tamper series resistor
U1,65,SD_D0,SD_D0_U1,R81,MCU side of SD D0 series link
U1,66,SD_D1,SD_D1_U1,R82,MCU side of SD D1 series link
U1,68,USB_VBUS,USB_VBUS_SENSE,R95,Divided USB VBUS sense at MCU
U1,70,USB_DM,USB_DM_U1,R92,MCU side of USB DM series link
U1,71,USB_DP,USB_DP_U1,R91,MCU side of USB DP series link
U1,78,SD_D2,SD_D2_U1,R83,MCU side of SD D2 series link
U1,79,SD_D3,SD_D3_U1,R84,MCU side of SD D3 series link
U1,80,SD_CK,SD_CK_U1,R79,MCU side of SD clock series link
U1,83,SD_CMD,SD_CMD_U1,R80,MCU side of SD command series link
U1,92,CELL_TX,CELL_TX_U16,R28,Shared MCU-side modem TX net at U16
U1,93,CELL_RX,CELL_RX_U16,R32,Shared MCU-side modem RX net at U16
U2,1,NOR_IO3,NOR_IO3_U2,R12,NOR side of OCTOSPI IO3 series link
U2,7,NOR_NCS,NOR_NCS_U2,R7,Direct NOR chip-select net with device-side pull-up
U2,8,NOR_IO1,NOR_IO1_U2,R10,NOR side of OCTOSPI IO1 series link
U2,9,NOR_IO2,NOR_IO2_U2,R11,NOR side of OCTOSPI IO2 series link
U2,15,NOR_IO0,NOR_IO0_U2,R9,NOR side of OCTOSPI IO0 series link
U2,16,NOR_CLK,NOR_CLK_U2,R8,NOR side of OCTOSPI clock series link
U3,1,I2C2_SCL,I2C2_SCL_BUS,R15,Shared sensor and PCB-PWR I2C2 bus
U3,4,I2C2_SDA,I2C2_SDA_BUS,R16,Shared sensor and PCB-PWR I2C2 bus
U4,1,I2C2_SCL,I2C2_SCL_BUS,R15,Shared sensor and PCB-PWR I2C2 bus
U4,6,I2C2_SDA,I2C2_SDA_BUS,R16,Shared sensor and PCB-PWR I2C2 bus
