RefDes,Category,Manufacturer,MPN,Package,Value,Population,Temperature_C,Logical_Net,Pin_Map,Electrical_Path,Disposition,Authority,Notes
C1,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 11 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 11
C2,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 27 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 27
C3,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 51 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 51
C4,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 75 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 75
C5,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDD pin 100 local bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at U1 pin 100
C6,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 package bulk,LOCKED_FITTED,ST_AN5373_Rev7,Verify effective capacitance after DC bias
C7,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VBAT pin 6 bypass,LOCKED_FITTED,ST_AN5373_Rev7,No backup cell in Rev.A
C8,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDDA pin 21 high frequency bypass,LOCKED_FITTED,ST_AN5373_Rev7,Single supply analog domain
C9,Capacitor,Murata,GRM155R61C105KA12D,0402,1 uF 16 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDDA pin 21 local bulk,LOCKED_FITTED,ST_AN5373_Rev7,Single supply analog domain
C10,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,VREF+,1=VREF+;2=GND,U1 VREF+ pin 20 high frequency bypass,LOCKED_FITTED,ST_AN5373_Rev7,VREF+ tied to VDDA
C11,Capacitor,Murata,GRM155R61C105KA12D,0402,1 uF 16 V X5R,FITTED,-55..85,VREF+,1=VREF+;2=GND,U1 VREF+ pin 20 local bulk,LOCKED_FITTED,ST_AN5373_Rev7,VREFBUF disabled
C12,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDDUSB pin 73 bypass,LOCKED_FITTED,ST_AN5373_Rev7,Place at VDDUSB
C13,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U1 VDDSMPS pin 47 local input capacitor,LOCKED_FITTED,ST_AN5373_Rev7,Verify ESR below 10 mOhm at 3 MHz and effective capacitance
C14,Capacitor,Murata,GRM155R61A225KE15D,0402,2.2 uF 10 V X5R,FITTED,-55..85,VCORE_1V1,1=VCORE_1V1;2=GND,U1 VDD11 pin 49 core capacitor,LOCKED_FITTED,ST_AN5373_Rev7,VCORE must not power external circuitry
C15,Capacitor,Murata,GRM155R61A225KE15D,0402,2.2 uF 10 V X5R,FITTED,-55..85,VCORE_1V1,1=VCORE_1V1;2=GND,U1 VDD11 pin 98 core capacitor,LOCKED_FITTED,ST_AN5373_Rev7,VCORE must not power external circuitry
C16,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,DNP,-55..125,VCORE_1V1,1=VCORE_1V1;2=GND,U1 VDD11 pin 49 optional high frequency position,LOCKED_DNP,ST_AN5373_Rev7,Populate only by signed power integrity change
C17,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,DNP,-55..125,VCORE_1V1,1=VCORE_1V1;2=GND,U1 VDD11 pin 98 optional high frequency position,LOCKED_DNP,ST_AN5373_Rev7,Populate only by signed power integrity change
C18,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,NRST,1=NRST;2=GND,U1 normal reset filter,LOCKED_FITTED,ST_AN5373_Rev7,Keep reset path short
C19,Capacitor,Murata,GRM21BR61A226ME44L,0805,22 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,PCB-MAIN 3V3 entry bulk,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Verify rail transient and DC bias in Review A
C20,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,1V8_MIC,1=1V8_MIC;2=GND,PCB-MAIN 1V8 entry bulk,LOCKED_FITTED,PROJECT_MAIN_AUTH_010,Verify microphone burst and wake current
C21,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U2 VCC pin 2 high frequency bypass,LOCKED_FITTED,Winbond_W25Q512JV_RevB,Place at U2 pin 2
C22,Capacitor,Murata,GRM155R61C105KA12D,0402,1 uF 16 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U2 VCC pin 2 local bulk,LOCKED_FITTED,Winbond_W25Q512JV_RevB,Place at U2 pin 2
C23,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U3 VDD pin 9 high frequency bypass,LOCKED_FITTED,ST_LIS2DW12_DS11811_Rev9,Place at U3 pin 9
C24,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,FITTED,-55..85,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U3 VDD pin 9 local bulk,LOCKED_FITTED,ST_LIS2DW12_DS11811_Rev9,Verify motion sensor rail transient
C25,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U3 VDD_IO pin 10 bypass,LOCKED_FITTED,ST_LIS2DW12_DS11811_Rev9,Place at U3 pin 10
C26,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U4 VDD pin 3 bypass,LOCKED_FITTED,ST_STTS22H_DS12606_Rev8,Keep away from thermal gradients
C27,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,1V8_MIC,1=1V8_MIC;2=GND,U7 VCCA pin 1 bypass,LOCKED_FITTED,TI_SCES875C_RevC,Place at U7 pin 1
C28,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U7 VCCB pin 23 bypass,LOCKED_FITTED,TI_SCES875C_RevC,Place at U7 pin 23
C29,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U7 VCCB pin 24 bypass,LOCKED_FITTED,TI_SCES875C_RevC,Place at U7 pin 24
C30,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,1V8_MIC,1=1V8_MIC;2=GND,U17 VCC pin 14 bypass,LOCKED_FITTED,TI_SCAS286U_RevU,Place at U17 pin 14
C31,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,1V8_MIC,1=1V8_MIC;2=GND,U18 VCCA pin 1 bypass,LOCKED_FITTED,TI_SCES882E_RevE,Place at U18 pin 1
C32,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND,U18 VCCB pin 6 bypass,LOCKED_FITTED,TI_SCES882E_RevE,Place at U18 pin 6
C33,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,U8_VDD_EXT_1V8,1=U8_VDD_EXT_1V8;2=GND_MODEM,U16 VCCA pin 1 bypass,LOCKED_FITTED,TI_SCES875C_RevC,Place at U16 pin 1
C34,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND_MODEM,U16 VCCB pin 23 bypass,LOCKED_FITTED,TI_SCES875C_RevC,Place at U16 pin 23
C35,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,FITTED,-55..125,3V3_DIGITAL,1=3V3_DIGITAL;2=GND_MODEM,U16 VCCB pin 24 bypass,LOCKED_FITTED,TI_SCES875C_RevC,Place at U16 pin 24
C36,Capacitor,KEMET,T520D107M006ATE015,7343-31,100 uF 6.3 V 15 mOhm polymer,FITTED,-55..105,3V8_MODEM_BB,1=3V8_MODEM_BB;2=GND_MODEM,U8 VBAT_BB local burst bulk,LOCKED_FITTED,Quectel_BG95_HW_Design_v1.6,Verify voltage droop and ripple current
