RefDes,X_mm,Y_mm,Rotation_deg,Functional_Group,Target,Placement_Method,Placement_Class,Authority,Status
C1,42.25,28.5,0,MCU,U1.11,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C2,42.25,37.75,0,MCU,U1.27,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C3,61.75,36,0,MCU,U1.51,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C4,61.75,24,0,MCU,U1.75,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C5,46,20.75,0,MCU,U1.100,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C6,42,30,0,MCU,U1,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C7,42.25,26.5,0,MCU,U1.6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C8,42.25,34,0,MCU,U1.21,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C9,42.25,32.75,0,MCU,U1.21,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C10,42.25,35.25,0,MCU,U1.20,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C11,42.25,31.5,0,MCU,U1.20,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C12,61.75,25.25,0,MCU,U1.73,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C13,62,37.75,0,MCU,U1.47,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C14,61.75,34.75,0,MCU,U1.49,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C15,47.75,20.75,0,MCU,U1.98,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C16,61.75,33.5,0,MCU,U1.49,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C17,47,19.5,0,MCU,U1.98,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C18,55,20.75,0,MCU,U1,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C19,15.00,27.75,0,PWR,J_PWR 3V3 entry,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
