Net_Name,Route_Class,Reference_Domain,Topology,Impedance_Target,Geometry_Rule,Pair_Group,Pair_Mate,Length_Group,Length_Rule,Layer_Rule,Via_Rule,Priority,Source_Authority,Status
1V8_MIC,POWER_RAIL,RETURN_AT_LOAD_PER_GROUND_AUTHORITY,PLANE_OR_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,WIDTH_FROM_LOAD_CURRENT_DC_DROP_AND_THERMAL_REVIEW,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_AUDIO_LOGIC_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
3V3_DIGITAL,POWER_RAIL,RETURN_AT_LOAD_PER_GROUND_AUTHORITY,PLANE_OR_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,WIDTH_FROM_LOAD_CURRENT_DC_DROP_AND_THERMAL_REVIEW,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_MCU_PIN_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
3V8_MODEM,MODEM_BURST_POWER,GND_MODEM,STAR_FEED_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,STAR_TRUNK_WIDTH_FROM_CURRENT_AND_DC_DROP_REVIEW,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
3V8_MODEM_BB,MODEM_BURST_POWER,GND_MODEM,STAR_FEED_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,MIN_EQUIVALENT_WIDTH_0.60_MM_WIDEN_IF_LONG,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
3V8_MODEM_RF,MODEM_BURST_POWER,GND_MODEM,STAR_FEED_SHORT_WIDE_BRANCH,NOT_CONTROLLED_IMPEDANCE,MIN_EQUIVALENT_WIDTH_2.70_MM_NO_NECKDOWN,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P0,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_CELLULAR_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
AAD_CFG,EDGE_CLOCK,GND_DIGITAL,SOURCE_SERIES_SEGMENT_OR_CONTROLLED_FANOUT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS_RETURN_VIA_AT_EACH_LAYER_CHANGE,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_AUDIO_LOGIC_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
AAD_CFG_1V8_FANOUT,EDGE_CLOCK,CROSS_GND_DIGITAL_GND_MIC_REVIEW_B,SOURCE_SERIES_SEGMENT_OR_CONTROLLED_FANOUT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS_RETURN_VIA_AT_EACH_LAYER_CHANGE,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_AUDIO_LOGIC_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
AAD_CFG_1V8_U7,EDGE_CLOCK,GND_DIGITAL,SOURCE_SERIES_SEGMENT_OR_CONTROLLED_FANOUT,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS_RETURN_VIA_AT_EACH_LAYER_CHANGE,P1,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_AUDIO_LOGIC_AUTHORITY_REV_A.md;hardware/PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
ACCEL_INT,LOW_SPEED_CONTROL,GND_DIGITAL,POINT_TO_POINT_OR_STATIC_STRAP,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_STORAGE_SENSOR_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BLE_DFU_REQ,LOW_SPEED_CONTROL,GND_DIGITAL,POINT_TO_POINT_OR_STATIC_STRAP,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_BLE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BLE_EN,LOW_SPEED_CONTROL,GND_DIGITAL,POINT_TO_POINT_OR_STATIC_STRAP,NOT_CONTROLLED_IMPEDANCE,FABRICATOR_MINIMUMS_AND_REVIEW_B,,,,NOT_APPLICABLE,SIGNAL_LAYER_WITH_CONTINUOUS_LOCAL_REFERENCE,MINIMIZE_TRANSITIONS,P2,hardware/kicad/PCB_RULES.md;hardware/PCB_MAIN_BLE_AUTHORITY_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
