RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U2,W25Q512JVFIQ,SOIC-16_300mil_F,1,/HOLD or /RESET (IO3),BIDIR,NOR_IO3,FUNCTION_LOCKED,Direct OCTOSPI data connection,Winbond_W25Q512JV_RevB_IQ,IQ ordering option has factory default QE=1 and pin operates as IO3 in Quad mode
U2,W25Q512JVFIQ,SOIC-16_300mil_F,2,VCC,POWER,3V3_DIGITAL,SUPPLY_LOCKED,100 nF plus 1 uF local decoupling,Winbond_W25Q512JV_RevB,Place both capacitors adjacent to VCC and GND
U2,W25Q512JVFIQ,SOIC-16_300mil_F,3,/RESET,INPUT,3V3_DIGITAL,STRAP_DIRECT_HIGH,Direct tie to 3V3_DIGITAL,Winbond_W25Q512JV_RevB,Dedicated reset is unused; software reset remains available
U2,W25Q512JVFIQ,SOIC-16_300mil_F,4,N/C,NC,NC,DNU_NO_CONNECT,No copper except solder pad,Winbond_W25Q512JV_RevB,Manufacturer marks pin N/C and DNU
U2,W25Q512JVFIQ,SOIC-16_300mil_F,5,N/C,NC,NC,DNU_NO_CONNECT,No copper except solder pad,Winbond_W25Q512JV_RevB,Manufacturer marks pin N/C and DNU
U2,W25Q512JVFIQ,SOIC-16_300mil_F,6,N/C,NC,NC,DNU_NO_CONNECT,No copper except solder pad,Winbond_W25Q512JV_RevB,Manufacturer marks pin N/C and DNU
U2,W25Q512JVFIQ,SOIC-16_300mil_F,7,/CS,INPUT,NOR_NCS,FUNCTION_LOCKED,10 kOhm pull-up to 3V3_DIGITAL,Winbond_W25Q512JV_RevB,Pull-up keeps flash deselected while MCU pins are not driven
U2,W25Q512JVFIQ,SOIC-16_300mil_F,8,DO (IO1),BIDIR,NOR_IO1,FUNCTION_LOCKED,Direct OCTOSPI data connection,Winbond_W25Q512JV_RevB,Quad data bit 1
U2,W25Q512JVFIQ,SOIC-16_300mil_F,9,/WP (IO2),BIDIR,NOR_IO2,FUNCTION_LOCKED,Direct OCTOSPI data connection,Winbond_W25Q512JV_RevB_IQ,IQ ordering option has factory default QE=1 and pin operates as IO2 in Quad mode
U2,W25Q512JVFIQ,SOIC-16_300mil_F,10,GND,POWER,GND,GROUND_LOCKED,Direct ground connection,Winbond_W25Q512JV_RevB,Return for local VCC decoupling
