Net,From,To,Class,Population,Status,Notes
VBAT_RAW,J_PWR_IN.1,F1.1,HIGH_CURRENT,POPULATED,LOCKED,"10.0-14.6 V provisional battery/BMS/MPPT input"
GND_PWR,J_PWR_IN.2,PCB_ground_plane,HIGH_CURRENT,POPULATED,LOCKED,"Internal power ground authority; connector-specific returns tie to this plane at PCB-PWR"
VBAT_FUSED,F1.2,"D1.K_or_clamp;U1.3_EN;U1.6_ANODE;Q1.SOURCE;CIN_REV",HIGH_CURRENT,POPULATED,CANDIDATE_VALUES,"F1=0451005.MRL and D1=SMBJ18A remain candidate values until transient/fault coordination"
REV_GATE,U1.5_GATE,Q1.4_GATE,CONTROL,POPULATED,LOCKED,"Gate network exact damping remains Review-A/transient item"
LM74700_VCAP,U1.1_VCAP,C_VCAP.1,ANALOG,POPULATED,LOCKED,"C_VCAP baseline 0.1 uF; opposite capacitor terminal to VBAT_FUSED/ANODE"
VBAT_PROTECTED,"Q1.DRAIN;U1.4_CATHODE","RSH1.CURRENT_SOURCE;C_PROT_MIN",HIGH_CURRENT,POPULATED,LOCKED,"Reverse-protected battery node before total-current shunt"
SHUNT_SOURCE_SENSE,RSH1.SENSE_SOURCE,U2.10_IN+,KELVIN,POPULATED,LOCKED,"No load current in sense trace"
SHUNT_LOAD_SENSE,RSH1.SENSE_LOAD,U2.9_IN-,KELVIN,POPULATED,LOCKED,"No load current in sense trace"
VBAT_SYS,RSH1.CURRENT_LOAD,"U2.8_VBUS;U3.1_VIN;U4.1_VIN;CIN_3V8;CIN_3V3;VBAT_SYS_BULK",HIGH_CURRENT,POPULATED,LOCKED,"All regulated rail input current passes through RSH1; total station current is therefore measurable"
SW_3V8,U3.3_SW,"L1.1;CBOOT_3V8.2",SWITCH_NODE,POPULATED,LOCKED,"Keep copper compact; no sensitive traces below/adjacent"
BOOT_3V8,U3.4_BOOT,CBOOT_3V8.1,SWITCH_DRIVER,POPULATED,LOCKED,"CBOOT_3V8=100 nF >=10 V to SW_3V8"
3V8_MODEM,L1.2,"J_PWR.1;COUT_3V8_BANK;RFBT_3V8.1;TP_3V8",HIGH_CURRENT,POPULATED,LOCKED,"Dedicated BG95 rail; local modem bulk/star split remains on PCB-MAIN"
FB_3V8,U3.6_FB,"RFBT_3V8.2;RFBB_3V8.1",ANALOG,POPULATED,LOCKED,"RFBT=100 k 0.1%; RFBB=35.7 k 0.1%; RFBB other end GND_PWR"
RT_3V8,U3.8_RT,"RRT_3V8.1;RMODE_3V8_FPWM.2_DNP",ANALOG,POPULATED,LOCKED,"RRT=86.6 k to GND; RMODE FPWM option DNP"
MODE_3V8,U3.7_MODE_SYNC,"RMODE_3V8_PFM.1;RMODE_3V8_FPWM.1_DNP",CONTROL,POPULATED,LOCKED,"Default PFM: 0R to GND populated; optional 0R MODE-to-RT DNP"
PG_3V8,U3.5_PG,"TP_PG_3V8;RPG_3V8_PU_DNP",OPEN_DRAIN,DNP_PULLUP,LOCKED,"Diagnostic only; not combined into overall PWR_GOOD because modem may be intentionally disabled"
EN_MODEM,J_PWR.9,"U3.9_EN;REN_MODEM_PD",CONTROL,POPULATED,LOCKED,"100 k pull-down default OFF"
SW_3V3,U4.3_SW,"L2.1;CBOOT_3V3.2",SWITCH_NODE,POPULATED,LOCKED,"Keep copper compact; no sensitive traces below/adjacent"
BOOT_3V3,U4.4_BOOT,CBOOT_3V3.1,SWITCH_DRIVER,POPULATED,LOCKED,"CBOOT_3V3=100 nF >=10 V to SW_3V3"
