Net_Name,Numeric_Class,Width_mm,Clearance_mm,Via_Diameter_mm,Via_Drill_mm,Min_Parallel_Vias_If_Transition,Max_One_Way_Length_mm,Layer_Policy,Via_Policy,Status
1V8_MIC,PWR_RAIL_0P3A,0.5,0.25,0.6,0.3,2,56.558362,OUTER_COPPER_AND_DEDICATED_RETURN_ZONE,AVOID_TRANSITION_OTHERWISE_MIN_2_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
3V3_DIGITAL,PWR_RAIL_4A,3.0,0.3,0.6,0.3,10,63.628158,OUTER_COPPER_AND_DEDICATED_RETURN_ZONE,AVOID_TRANSITION_OTHERWISE_MIN_10_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
3V8_MODEM,PWR_RAIL_4A,3.0,0.3,0.6,0.3,10,63.628158,OUTER_COPPER_AND_DEDICATED_RETURN_ZONE,AVOID_TRANSITION_OTHERWISE_MIN_10_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
BOOT_3V3,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
BOOT_3V8,PWR_LOCAL,0.5,0.25,0.6,0.3,1,,F_CU_LOCAL_PREFERRED,MINIMIZE_TRANSITIONS_BOOTSTRAP_ZERO_VIA_TARGET,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
EN_AUX,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
EN_MODEM,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
FAULT,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
FB_3V8,PWR_SENSE,0.25,0.3,0.6,0.3,0,,F_CU_PAIRED_QUIET_CORRIDOR,ZERO_VIA_TARGET_NO_SHARED_LOAD_COPPER,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
GND_DIGITAL,PWR_RAIL_4A,3.0,0.3,0.6,0.3,10,63.628158,OUTER_COPPER_AND_DEDICATED_RETURN_ZONE,AVOID_TRANSITION_OTHERWISE_MIN_10_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
GND_MIC,PWR_RAIL_0P3A,0.5,0.25,0.6,0.3,2,56.558362,OUTER_COPPER_AND_DEDICATED_RETURN_ZONE,AVOID_TRANSITION_OTHERWISE_MIN_2_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
GND_MODEM,PWR_RAIL_4A,3.0,0.3,0.6,0.3,10,63.628158,OUTER_COPPER_AND_DEDICATED_RETURN_ZONE,AVOID_TRANSITION_OTHERWISE_MIN_10_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
GND_PWR,PWR_RETURN_5A,4.0,0.3,0.6,0.3,12,67.870035,CONTINUOUS_GND_PWR_PLANE_PLUS_OUTER_COPPER,AVOID_TRANSITION_OTHERWISE_MIN_12_PARALLEL_PROVISIONAL,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
I2C2_SCL,CONTROL,0.25,0.2,0.6,0.3,1,,SIGNAL_LAYER_OVER_CONTROLLED_RETURN,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA,EVT_ENGINEERING_CANDIDATE_ONLY_FINAL_FABRICATOR_FAULT_THERMAL_REVIEW_PENDING
