RefDes,BOM_Item_ID,Category,Manufacturer,MPN,Package,Value,Population,Temperature_C,Footprint,Pin_Map,Authority_Status,Primary_Source,Release_Blockers,Notes
C1,PWR-C-100N,Passive,TDK,CGA2B3X7R1E104K050BB,0402,100 nF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_0402_1005Metric,1=LM74700_VCAP;2=VBAT_FUSED,LOCKED_CANDIDATE_PENDING_DERATING,TDK CGA exact product data,DC bias and assembly review,LM74700 VCAP capacitor
C2,PWR-C-100N,Passive,TDK,CGA2B3X7R1E104K050BB,0402,100 nF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_0402_1005Metric,1=3V3_DIGITAL;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK CGA exact product data,DC bias and assembly review,INA226 local bypass
C4,PWR-C-100N,Passive,TDK,CGA2B3X7R1E104K050BB,0402,100 nF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_0402_1005Metric,1=BOOT_3V8;2=SW_3V8,LOCKED_CANDIDATE_PENDING_DERATING,TDK CGA exact product data,bootstrap loop placement and assembly review,LMR60440 3V8 bootstrap
C6,PWR-C-100N,Passive,TDK,CGA2B3X7R1E104K050BB,0402,100 nF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_0402_1005Metric,1=BOOT_3V3;2=SW_3V3,LOCKED_CANDIDATE_PENDING_DERATING,TDK CGA exact product data,bootstrap loop placement and assembly review,LMR60440 3V3 bootstrap
C7,PWR-C-LDO,Passive,TDK,CGA3E1X7R1A225K080AC,0603,2.2 uF 10 V X7R,FITTED,-55..125,Capacitor_SMD:C_0603_1608Metric,1=3V3_DIGITAL;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK CGA exact product data,effective capacitance and noise test,TPS7A20 input
C8,PWR-C-LDO,Passive,TDK,CGA3E1X7R1A225K080AC,0603,2.2 uF 10 V X7R,FITTED,-55..125,Capacitor_SMD:C_0603_1608Metric,1=1V8_MIC;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK CGA exact product data,effective capacitance and microphone noise test,TPS7A20 output
C9,PWR-C-CIN-HF,Passive,TDK,CGA3E2X7R1H104K080AA,0603,100 nF 50 V X7R,FITTED,-55..125,Capacitor_SMD:C_0603_1608Metric,1=VBAT_FUSED;2=GND_PWR,LOCKED_CANDIDATE_PENDING_TRANSIENT,TDK exact product data for CGA3E2X7R1H104K080AA,transient profile and TVS coordination,High-frequency protected-input bypass
C10,PWR-C-INPUT,Passive,TDK,CGA6P3X7R1H475K250AB,1210,4.7 uF 50 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=VBAT_PROTECTED;2=GND_PWR,LOCKED_CANDIDATE_PENDING_TRANSIENT,TDK exact product data for CGA6P3X7R1H475K250AB,transient profile DC bias and assembly review,Post-ideal-diode local capacitance
C11,PWR-C-INPUT,Passive,TDK,CGA6P3X7R1H475K250AB,1210,4.7 uF 50 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=VBAT_SYS;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1H475K250AB,DC bias load-step and hot-loop review,LMR60440 3V8 input capacitor
C12,PWR-C-INPUT,Passive,TDK,CGA6P3X7R1H475K250AB,1210,4.7 uF 50 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=VBAT_SYS;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1H475K250AB,DC bias load-step and hot-loop review,LMR60440 3V3 input capacitor
C13,PWR-C-BULK,Passive,Panasonic Industry,EEH-ZK1V101XP,SMD can 6.3x7.7 mm,100 uF 35 V hybrid,FITTED,-55..125,Capacitor_SMD:CP_Elec_6.3x7.7,1=VBAT_SYS;2=GND_PWR,LOCKED_CANDIDATE_PACKAGE_REVIEW_PENDING,Panasonic EEH-ZK1V101XP exact product page,manufacturer land-pattern comparison transient ripple and thermal test,35 mOhm max ESR and 1.7 Arms at 100 kHz
C3,PWR-COUT-3V8,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V8_MODEM;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V8 output bank
C14,PWR-COUT-3V8,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V8_MODEM;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V8 output bank
C15,PWR-COUT-3V8,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V8_MODEM;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V8 output bank
C16,PWR-COUT-3V8,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V8_MODEM;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V8 output bank
C5,PWR-COUT-3V3,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V3_DIGITAL;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V3 output bank
C17,PWR-COUT-3V3,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V3_DIGITAL;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V3 output bank
C18,PWR-COUT-3V3,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V3_DIGITAL;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V3 output bank
C19,PWR-COUT-3V3,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,FITTED,-55..125,Capacitor_SMD:C_1210_3225Metric,1=3V3_DIGITAL;2=GND_PWR,LOCKED_CANDIDATE_PENDING_DERATING,TDK exact product data for CGA6P3X7R1E226M250AB,DC bias load-step ripple and assembly review,3V3 output bank
R1,PWR-R-100K-01,Passive,Panasonic Industry,ERA-2AEB104X,0402,100 kOhm 0.1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=3V8_MODEM;2=FB_3V8,LOCKED_CANDIDATE,Panasonic ERA-2A series data,feedback tolerance and load-step verification,3V8 upper feedback resistor
R2,PWR-R-35K7,Passive,Panasonic Industry,ERA-2AEB3572X,0402,35.7 kOhm 0.1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=FB_3V8;2=GND_PWR,LOCKED_CANDIDATE,Panasonic ERA-2A series data,feedback tolerance and load-step verification,3V8 lower feedback resistor
R3,PWR-R-86K6,Passive,Panasonic Industry,ERA-2AEB8662X,0402,86.6 kOhm 0.1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=RT_3V8;2=GND_PWR,LOCKED_CANDIDATE,Panasonic ERA-2A series data,switching-frequency measurement,3V8 timing resistor
R7,PWR-R-86K6,Passive,Panasonic Industry,ERA-2AEB8662X,0402,86.6 kOhm 0.1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=RT_3V3;2=GND_PWR,LOCKED_CANDIDATE,Panasonic ERA-2A series data,switching-frequency measurement,3V3 timing resistor
R4,PWR-R-0R,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=MODE_3V8;2=GND_PWR,LOCKED_FITTED,Panasonic ERJ-2G series data,mode and sleep-current test,3V8 PFM selection
R8,PWR-R-0R,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=MODE_3V3;2=GND_PWR,LOCKED_FITTED,Panasonic ERJ-2G series data,mode and sleep-current test,3V3 PFM selection
R5,PWR-R-0R-DNP,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,DNP,-55..155,Resistor_SMD:R_0402_1005Metric,1=MODE_3V8;2=RT_3V8,LOCKED_DNP,Panasonic ERJ-2G series data,assembly population control,3V8 optional FPWM link
R9,PWR-R-0R-DNP,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,DNP,-55..155,Resistor_SMD:R_0402_1005Metric,1=MODE_3V3;2=RT_3V3,LOCKED_DNP,Panasonic ERJ-2G series data,assembly population control,3V3 optional FPWM link
R6,PWR-R-100K,Passive,Panasonic Industry,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=EN_MODEM;2=GND_PWR,LOCKED_FITTED,Panasonic ERJ-2R series data,startup state verification,EN_MODEM fail-safe pull-down
R11,PWR-R-100K,Passive,Panasonic Industry,ERJ-2RKF1003X,0402,100 kOhm 1%,FITTED,-55..155,Resistor_SMD:R_0402_1005Metric,1=EN_AUX;2=GND_PWR,LOCKED_FITTED,Panasonic ERJ-2R series data,startup state verification,EN_AUX fail-safe pull-down
