RefDes,MPN,Package,Pin,Pin_Name,Electrical_Type,RevA_Net,Authority,Status,Notes
U1,LM74700QDBVRQ1,SOT-23-6_DBV,1,VCAP,OUTPUT,LM74700_VCAP,TI_LM74700-Q1_datasheet_RevG,LOCKED,"0.1 uF minimum/recommended baseline between VCAP and ANODE; >=10x MOSFET Ciss guidance satisfied by 0.1 uF for CSD18540Q5B"
U1,LM74700QDBVRQ1,SOT-23-6_DBV,2,GND,GND,GND_PWR,TI_LM74700-Q1_datasheet_RevG,LOCKED,
U1,LM74700QDBVRQ1,SOT-23-6_DBV,3,EN,INPUT,VBAT_FUSED,TI_LM74700-Q1_datasheet_RevG,LOCKED,"Always-on reverse protection; EN tied to ANODE input node"
U1,LM74700QDBVRQ1,SOT-23-6_DBV,4,CATHODE,INPUT,VBAT_PROTECTED,TI_LM74700-Q1_datasheet_RevG,LOCKED,"Connect to external N-MOSFET drain/post-FET node"
U1,LM74700QDBVRQ1,SOT-23-6_DBV,5,GATE,OUTPUT,REV_GATE,TI_LM74700-Q1_datasheet_RevG,LOCKED,"External N-MOSFET gate drive; final gate transient/series network remains transient/Review-B item"
U1,LM74700QDBVRQ1,SOT-23-6_DBV,6,ANODE,INPUT,VBAT_FUSED,TI_LM74700-Q1_datasheet_RevG,LOCKED,"Connect to external N-MOSFET source/pre-FET node"
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,1,DRAIN,POWER,VBAT_PROTECTED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,"Top-view pin map per TI datasheet page 1"
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,2,DRAIN,POWER,VBAT_PROTECTED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,3,DRAIN,POWER,VBAT_PROTECTED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,4,DRAIN,POWER,VBAT_PROTECTED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,"Drain copper must follow TI recommended PCB pattern"
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,5,GATE,INPUT,REV_GATE,TI_CSD18540Q5B_datasheet_RevB,LOCKED,
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,6,SOURCE,POWER,VBAT_FUSED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,7,SOURCE,POWER,VBAT_FUSED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,
Q1,CSD18540Q5B,VSON-CLIP_DNK-8,8,SOURCE,POWER,VBAT_FUSED,TI_CSD18540Q5B_datasheet_RevB,LOCKED,"ANODE/input side per LM74700-Q1 datasheet"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,1,VIN,POWER,VBAT_SYS,TI_LMR60440_SNAS877,LOCKED,"3.8 V modem buck"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,2,PGND,GND,GND_PWR,TI_LMR60440_SNAS877,LOCKED,
U3,LMR604403SRAKR,WQFN-HR_RAK-9,3,SW,POWER,SW_3V8,TI_LMR60440_SNAS877,LOCKED,
U3,LMR604403SRAKR,WQFN-HR_RAK-9,4,BOOT,POWER,BOOT_3V8,TI_LMR60440_SNAS877,LOCKED,"100 nF CBOOT between BOOT and SW"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,5,PG,OPEN_DRAIN,PG_3V8,TI_LMR60440_SNAS877,LOCKED,"Diagnostic/testpoint; intentionally not part of PWR_GOOD because EN_MODEM may be low by design"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,6,FB,INPUT,FB_3V8,TI_LMR60440_SNAS877,LOCKED,"Adjustable mode; 100 k top / 35.7 k bottom gives nominal ~3.801 V"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,7,MODE/SYNC,INPUT,MODE_3V8,TI_LMR60440_SNAS877,LOCKED,"Default PFM via populated 0R to GND; reserve DNP 0R option to RT for FPWM"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,8,RT,INPUT,RT_3V8,TI_LMR60440_SNAS877,LOCKED,"86.6 kOhm to PGND, 400 kHz capture baseline per TI Table 8-1"
U3,LMR604403SRAKR,WQFN-HR_RAK-9,9,EN,INPUT,EN_MODEM,TI_LMR60440_SNAS877,LOCKED,"100 kOhm pull-down on PCB-PWR for default safe OFF"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,1,VIN,POWER,VBAT_SYS,TI_LMR60440_SNAS877,LOCKED,"3.3 V digital/AON source buck"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,2,PGND,GND,GND_PWR,TI_LMR60440_SNAS877,LOCKED,
U4,LMR604403SRAKR,WQFN-HR_RAK-9,3,SW,POWER,SW_3V3,TI_LMR60440_SNAS877,LOCKED,
U4,LMR604403SRAKR,WQFN-HR_RAK-9,4,BOOT,POWER,BOOT_3V3,TI_LMR60440_SNAS877,LOCKED,"100 nF CBOOT between BOOT and SW"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,5,PG,OPEN_DRAIN,PWR_GOOD,TI_LMR60440_SNAS877,LOCKED,"Authoritative PWR_GOOD source; 10 kOhm pull-up to 3V3_DIGITAL"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,6,FB,INPUT,3V3_DIGITAL,TI_LMR60440_SNAS877,LOCKED,"Direct VOUT-to-FB connection selects fixed 3.3 V mode for LMR604403"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,7,MODE/SYNC,INPUT,MODE_3V3,TI_LMR60440_SNAS877,LOCKED,"Default PFM via populated 0R to GND; reserve DNP 0R option to RT for FPWM"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,8,RT,INPUT,RT_3V3,TI_LMR60440_SNAS877,LOCKED,"86.6 kOhm to PGND, 400 kHz capture baseline per TI Table 8-1"
U4,LMR604403SRAKR,WQFN-HR_RAK-9,9,EN,INPUT,VBAT_SYS,TI_LMR60440_SNAS877,LOCKED,"Review-A startup fix: 3V3_DIGITAL is the MAIN/AON bootstrap rail, so EN is tied directly to VIN/VBAT_SYS per TI. Never gate U4 from EN_AUX."
U5,TPS7A2018PDBVR,SOT-23-5_DBV,1,IN,POWER,3V3_DIGITAL,TI_TPS7A20_datasheet_RevH,LOCKED,
U5,TPS7A2018PDBVR,SOT-23-5_DBV,2,GND,GND,GND_PWR,TI_TPS7A20_datasheet_RevH,LOCKED,
U5,TPS7A2018PDBVR,SOT-23-5_DBV,3,EN,INPUT,EN_AUX,TI_TPS7A20_datasheet_RevH,LOCKED,"EN_AUX now gates only the 1V8 microphone auxiliary rail after MAIN boots; keep asserted whenever T5838 AAD is armed. External 100 k pull-down supplements internal EN pull-down."
U5,TPS7A2018PDBVR,SOT-23-5_DBV,4,NC,NC,NC,TI_TPS7A20_datasheet_RevH,LOCKED,"No connection"
U5,TPS7A2018PDBVR,SOT-23-5_DBV,5,OUT,POWER,1V8_MIC,TI_TPS7A20_datasheet_RevH,LOCKED,
U2,INA226AIDGSR,VSSOP-10_DGS,1,A1,INPUT,GND_PWR,TI_INA226_datasheet_RevC,LOCKED,"A1=GND"
U2,INA226AIDGSR,VSSOP-10_DGS,2,A0,INPUT,GND_PWR,TI_INA226_datasheet_RevC,LOCKED,"A0=GND; A1/A0=GND/GND selects 7-bit address 0x40"
U2,INA226AIDGSR,VSSOP-10_DGS,3,ALERT,OPEN_DRAIN,FAULT,TI_INA226_datasheet_RevC,LOCKED,"10 kOhm pull-up to 3V3_DIGITAL; reserve wired-OR pads for future power fault sources"
