RefDes,X_mm,Y_mm,Rotation_deg,Side,Functional_Zone,Placement_Status,Source_Authority,Notes
J1,6.00,28.00,0,TOP,INPUT_PROTECTION,PROVISIONAL_SERVICE_CLEARANCE_PENDING,PCB_PWR_FOOTPRINT_AUTHORITY_REV_A.md,Vertical battery input anchor; enclosure and cable access remain DIM-003
F1,13.00,29.00,0,TOP,INPUT_PROTECTION,PROVISIONAL_TRANSIENT_REVIEW_PENDING,POWER_COMPONENT_FREEZE_REV_A.csv,Fuse candidate between J1 and protected-input stage
D1,14.50,34.00,90,TOP,INPUT_PROTECTION,PROVISIONAL_TRANSIENT_REVIEW_PENDING,POWER_COMPONENT_FREEZE_REV_A.csv,TVS candidate kept beside input return
C9,16.00,27.00,0,TOP,INPUT_PROTECTION,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,High-frequency input bypass candidate
U1,20.00,30.00,0,TOP,INPUT_PROTECTION,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PIN_AUTHORITY_REV_A.csv,Ideal-diode controller adjacent to Q1
C1,20.00,26.00,0,TOP,INPUT_PROTECTION,PROVISIONAL_HOT_LOOP_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,LM74700 VCAP capacitor
Q1,27.00,30.00,0,TOP,INPUT_PROTECTION,PROVISIONAL_THERMAL_REVIEW_PENDING,PCB_PWR_FOOTPRINT_AUTHORITY_REV_A.md,Reverse-polarity MOSFET in high-current path
C10,34.00,26.00,0,TOP,CURRENT_SENSE,PROVISIONAL_TRANSIENT_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,Post-ideal-diode local capacitance
RSH1,36.50,31.00,0,TOP,CURRENT_SENSE,PROVISIONAL_KELVIN_REVIEW_PENDING,PCB_PWR_FOOTPRINT_AUTHORITY_REV_A.md,Four-terminal shunt between protected and system buses
U2,44.00,23.00,0,TOP,CURRENT_SENSE,PROVISIONAL_KELVIN_REVIEW_PENDING,PCB_PWR_PIN_AUTHORITY_REV_A.csv,INA226 near shunt sense pads
C2,48.00,22.00,0,TOP,CURRENT_SENSE,PROVISIONAL_PLACEMENT_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,INA226 local bypass
C13,47.00,32.00,0,TOP,CURRENT_SENSE,PROVISIONAL_PACKAGE_REVIEW_PENDING,PCB_PWR_PASSIVE_AUTHORITY_REV_A.csv,System-bus hybrid bulk capacitor
