Net_Name,Route_Class,Reference_Domain,Topology,Current_Basis,Geometry_Rule,Layer_Rule,Via_Rule,Separation_Rule,Priority,Source_Authority,Status
1V8_MIC,POWER_RAIL,GND_PWR_TO_GND_MIC_AT_NT3,REGULATED_OUTPUT_TO_HARNESS_AND_LOCAL_LOADS,TPS7A20_0P3A_RATED_ACTUAL_LOAD_ENVELOPE_OPEN,WIDTH_FROM_0P3A_LOAD_DC_DROP_AND_LOW_NOISE_THERMAL_REVIEW,OUTER_AND_PLANE_COPPER_AFTER_CURRENT_DENSITY_AND_STACKUP_ACCEPTANCE,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
3V3_DIGITAL,POWER_RAIL,GND_PWR_TO_GND_DIGITAL_AT_NT2,REGULATED_OUTPUT_TO_HARNESS_AND_LOCAL_LOADS,LMR60440_4A_RATED_ACTUAL_LOAD_ENVELOPE_OPEN,WIDTH_PENDING_LOAD_AND_THERMAL_REVIEW_QUIET_U4_FB_SENSE_FROM_OUTPUT_CAP_NOT_SW,OUTER_AND_PLANE_COPPER_AFTER_CURRENT_DENSITY_AND_STACKUP_ACCEPTANCE,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
3V8_MODEM,POWER_OUTPUT_HIGH_CURRENT,GND_PWR_TO_GND_MODEM_AT_NT1,BUCK_OUTPUT_TO_HARNESS_STAR_LOAD,LMR60440_4A_RATED_BG95_BB_PLUS_RF_PEAK_3P3A,WIDTH_AND_COPPER_FROM_4A_RATING_3P3A_PEAK_DC_DROP_AND_PLUS70C_THERMAL_REVIEW,OUTER_AND_PLANE_COPPER_AFTER_CURRENT_DENSITY_AND_STACKUP_ACCEPTANCE,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BOOT_3V3,BOOTSTRAP_LOOP,GND_PWR,LOCAL_CONTROLLER_CAPACITOR_SWITCH_NODE_LOOP,LMR60440_3V3_CHANNEL_4A_RATED_SWITCHING_LOOP,SHORTEST_PRACTICAL_CONTROLLER_CAP_TO_SW_LOOP,F_CU_LOCAL_SAME_LAYER_CONTROLLER_AND_CAPACITOR,ZERO_VIA_TARGET_ANY_EXCEPTION_REQUIRES_REVIEW_B,COLOCATE_WITH_ASSIGNED_SWITCH_LOOP_KEEP_AWAY_FROM_SENSE_AND_I2C,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
BOOT_3V8,BOOTSTRAP_LOOP,GND_PWR,LOCAL_CONTROLLER_CAPACITOR_SWITCH_NODE_LOOP,LMR60440_3V8_CHANNEL_4A_RATED_SWITCHING_LOOP,SHORTEST_PRACTICAL_CONTROLLER_CAP_TO_SW_LOOP,F_CU_LOCAL_SAME_LAYER_CONTROLLER_AND_CAPACITOR,ZERO_VIA_TARGET_ANY_EXCEPTION_REQUIRES_REVIEW_B,COLOCATE_WITH_ASSIGNED_SWITCH_LOOP_KEEP_AWAY_FROM_SENSE_AND_I2C,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
EN_AUX,LOW_SPEED_CONTROL,CROSS_GND_DIGITAL_GND_PWR_VIA_NT2,HARNESS_CONTROL_TO_LOCAL_ENABLE_RECEIVER,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
EN_MODEM,LOW_SPEED_CONTROL,CROSS_GND_DIGITAL_GND_PWR_VIA_NT2,HARNESS_CONTROL_TO_LOCAL_ENABLE_RECEIVER,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
FAULT,OPEN_DRAIN_STATUS,CROSS_GND_DIGITAL_GND_PWR_VIA_NT2,OPEN_DRAIN_STATUS_TO_LOCAL_TP_OR_MAIN_HARNESS,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,FABRICATOR_MINIMUMS_AND_REVIEW_B,SIGNAL_LAYER_OVER_CONTINUOUS_GND_PWR_REFERENCE,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_CLEAR_OF_SWITCH_NODE_AND_UNRELATED_SENSITIVE_NETWORKS,P1,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
FB_3V8,FEEDBACK_SENSE,GND_PWR,QUIET_POST_INDUCTOR_OUTPUT_SENSE_TO_FEEDBACK_DIVIDER,SIGNAL_OR_BIAS_CURRENT_NOT_LOAD_CURRENT,QUIET_POST_INDUCTOR_SENSE_FROM_OUTPUT_CAP_NO_SWITCH_NODE_PICKUP,F_CU_QUIET_CORRIDOR_FROM_OUTPUT_CAP_TO_CONTROLLER,MINIMIZE_TRANSITIONS_ADD_LOCAL_RETURN_VIA_IF_LAYER_CHANGES,KEEP_AWAY_FROM_SWITCH_NODES_INDUCTORS_GATE_DRIVE_AND_HIGH_DI_DT_LOOPS,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
GND_DIGITAL,SEPARATE_HARNESS_RETURN,SELF_TO_GND_PWR_ONLY_AT_NT2,HARNESS_RETURN_TO_ONE_EXPLICIT_NET_TIE,LMR60440_4A_RATED_ACTUAL_LOAD_ENVELOPE_OPEN,COPPER_EQUIVALENT_TO_ASSOCIATED_RAIL_NO_NECKDOWN_JOIN_ONLY_AT_ASSIGNED_NET_TIE,CONTROLLED_RETURN_COPPER_TO_ASSIGNED_NET_TIE_NO_CROSS_JOIN,VIA_ARRAY_COUNT_FROM_CURRENT_DENSITY_AND_THERMAL_REVIEW_NO_SINGLE_VIA_NECKDOWN,NO_CROSS_DOMAIN_JOIN_EXCEPT_ASSIGNED_NT1_NT2_OR_NT3,P0,hardware/PCB_PWR_CAPTURE_NETS_REV_A.csv;hardware/POWER_DESIGN_BASELINE_REV_A.json;hardware/kicad/PCB_RULES.md;hardware/PCB_LAYER_COUNT_AUTHORITY_REV_A.csv;hardware/PWR_MAIN_12PIN_I2C_FREEZE_REV_A.md;hardware/PCB_PWR_REVIEW_A_PIN_NET_REV_A.md,PRE_ROUTE_CONSTRAINT_CONTROLLED_ROUTING_NOT_COMPLETE
