ID;Система;Корпус;Ответная часть;Контакт;Использование;Параметры;Примечание
C01;JST XH 2P;XHP-2;B2B-XH-A/B2P-XH-A;SXH-001T-P0.6;H05, H17;"0,08–0,34 мм²; ≤3 A";внутри корпуса
C02;JST XH 4P;XHP-4;B4B-XH-A;SXH-001T-P0.6;H13, H14;"0,08–0,34 мм²; ≤3 A";ключ/маркировка
C03;JST XH 6P;XHP-6;B6B-XH-A;SXH-001T-P0.6;H10, H12;"0,08–0,34 мм²; ≤3 A";ключ/маркировка
C04;JST XH 8P;XHP-8;B8B-XH-A;SXH-001T-P0.6;H06–H09, H15;"0,08–0,34 мм²; ≤3 A";MIC разъёмы одного pinout
C05;JST XH 10P;XHP-10;B10B-XH-A;SXH-001T-P0.6;H11;"0,08–0,34 мм²; ≤3 A";LoRa
C06;XT30;XT30-F;XT30-M;пайка;H01, H04;"≥15 A; провод 0,5–2 мм²";внутри герметичного корпуса
C07;разъёмная клемма 5,08 мм 2P;2EDGK/KF2EDG socket;header 2P;винт/обжимная гильза;H02, H03;не менее 8 A;силовая сервисная колодка
C08;SMA bulkhead;SMA-F panel;SMA-M antenna;u.FL pigtail;H18;50 Ω;шайба+контргайка
C09;MC4;MC4-F;MC4-M;обжим;наружный участок H02;PV 2,5–4 мм²;только при штатном MC4 панели
C10;гермоввод;PG7/PG9 IP68;—;—;H02, H06–H09;под фактический наружный Ø;разъём остаётся внутри
C11;панельные гребёнки;female 2,54 mm;male module header;пайка;WeAct/BG95/BLE;по току модуля;модули снимаются без выпайки
