Жгут;Назначение;Провод;Сечение мм²;Цвет;Длина мм;Разъёмы;Ток;Примечание
H01;АКБ→F1→электроника;2 жилы Cu, гибкий;0,75;красный/чёрный;250;"XT30 пара; держатель F1";3 A continuous;разъём внутри корпуса
H02;Солнечная панель→контроллер;2 жилы Cu, наружный UV;"0,75 внутри; 2,5 PV при MC4";+ красный/− чёрный;по месту, базово 1500;"MC4 снаружи; 2EDG/KF301 2P внутри";1 A;IP68 гермоввод
H03;12,8 В→DC/DC 5 В;2 жилы Cu, гибкий;0,50;красный/чёрный;150;разъёмная колодка 5,08 мм 2P;3 A;звёздная земля
H04;DC/DC 5 В→BG95;2 жилы Cu, гибкий;0,75;красный/чёрный;≤150;"XT30; на EVB — штатная силовая колодка";≥5 A contact;"отдельный возврат; 470–1000 мкФ low-ESR у EVB"
H05;5 В→WeAct/3,3 В регулятор;2 жилы Cu, гибкий;0,35;красный/чёрный;150;JST XH 2P;2 A;не питать через отладчик при измерении
H06;MIC1;Cat5e patch, Cu stranded, 4 пары;0,20–0,22;по парам;300;JST XH 8P с двух сторон;signal;BCLK/GND, WS/GND, DATA/GND, 3V3/GND
H07;MIC2;Cat5e patch, Cu stranded, 4 пары;0,20–0,22;по парам;300;JST XH 8P с двух сторон;signal;"та же распиновка; SEL=R"
H08;MIC3;Cat5e patch, Cu stranded, 4 пары;0,20–0,22;по парам;300;JST XH 8P с двух сторон;signal;"та же распиновка; SEL=L"
H09;MIC4 верхний;Cat5e patch, Cu stranded, 4 пары;0,20–0,22;по парам;450;JST XH 8P с двух сторон;signal;"та же распиновка; SEL=R"
H10;GNSS UART+PPS;6 жил Cu;0,12–0,20;красн/чёрн/бел/зел/жёл/син;250;JST XH 6P;1 A;PPS рядом с GND
H11;SX1262 SPI/control;10 жил Cu;0,12–0,20;маркировка 1…10;≤180;JST XH 10P;1 A;антенна отдельно, 50 Ω
H12;microSD SPI;6 жил Cu;0,12–0,20;маркировка 1…6;≤120;JST XH 6P;1 A;короче LoRa ответвления
H13;BLE UART;4 жил Cu;0,12;красн/чёрн/бел/зел;200;JST XH 4P;1 A;модуль отключаемый
H14;I2C датчики;4 жил Cu;0,12;красн/чёрн/жёл/син;200;JST XH 4P;1 A;ветвь короткая
H15;BG95 control/UART;8 жил Cu;0,12;маркировка 1…8;≤150;JST XH 8P;signal;"translator у MCU; питание отдельно H04"
H16;SWD service;ленточный/отдельные жилы;0,08–0,12;маркировка;150;Cortex 10P 1,27 мм↔JST XH 5P adapter;signal;VTref, SWDIO, SWCLK, NRST, GND
H17;Tamper;2 жилы Cu;0,12;белый/чёрный;250;JST XH 2P;0,5 A;скрутить
H18;LTE/GNSS/LoRa RF;коаксиал 50 Ω 1,13 мм/RG178;по кабелю;чёрный;150–300;u.FL/IPEX↔SMA bulkhead;RF;"не перегибать <10 мм; не включать TX без антенны"
