ID;Откуда;Куда;Сигнал;Исполнение на плате;Проверка
W001;U1 PA8;R1.1;BCLK_RAW;МГТФ 0,12 мм², ≤10 мм;нет КЗ на GND/3V3
W002;R1.2;J1.3,J2.3,J3.3,J4.3;BCLK;МГТФ 0,12 мм², дерево с короткими ответвлениями;R=33 Ом последовательно
W003;U1 PA9;R2.1;WS_RAW;МГТФ 0,12 мм², ≤10 мм;нет КЗ
W004;R2.2;J1.5,J2.5,J3.5,J4.5;WS;МГТФ 0,12 мм²;R=33 Ом последовательно
W005;U1 PA10;J1.7,J2.7;DATA_A;МГТФ 0,12 мм²;не объединять с DATA_B
W006;U1 PB5;J3.7,J4.7;DATA_B;МГТФ 0,12 мм²;не объединять с DATA_A
W007;U1 PA2;J5.3;GNSS_RX;МГТФ 0,12 мм²;TX→RX
W008;J5.4;U1 PA3;GNSS_TX;МГТФ 0,12 мм²;RX←TX
W009;J5.5;U1 PB3;PPS;МГТФ 0,12 мм², кратчайший;фронт на TIM2_CH2
W010;U1 PA5;J6.3,J7.3;SPI_SCK;МГТФ 0,12 мм²;≤8 МГц EVT
W011;J6.4,J7.4;U1 PA6;SPI_MISO;МГТФ 0,12 мм²;общая шина
W012;U1 PA7;J6.5,J7.5;SPI_MOSI;МГТФ 0,12 мм²;общая шина
W013;U1 PB0;J6.6;LORA_NSS;МГТФ 0,12 мм²;отдельный CS
W014;J6.7;U1 PB2;LORA_DIO1;МГТФ 0,12 мм²;EXTI
W015;J6.8;U1 PB8;LORA_BUSY;МГТФ 0,12 мм²;timeout
W016;U1 PB9;J6.9;LORA_RESET;МГТФ 0,12 мм²;активный 0
W017;U1 PA4;J7.6;SD_NSS;МГТФ 0,12 мм²;отдельный CS
W018;U1 PB10;J8.3;BLE_RX;МГТФ 0,12 мм²;TX→RX
W019;J8.4;U1 PB11;BLE_TX;МГТФ 0,12 мм²;RX←TX
W020;U1 PB13;R3/J9.3;I2C_SCL;МГТФ 0,12 мм²;pull-up 4,7 кОм
W021;U1 PB14;R4/J9.4;I2C_SDA;МГТФ 0,12 мм²;pull-up 4,7 кОм
W022;U1 PB6;U2.AIN;BG95_RX_3V3;МГТФ 0,12 мм²;через U2 либо 0 Ом после входного контроля
W023;U2.AOUT;J10.3;BG95_RX_1V8;МГТФ 0,12 мм²;проверить 1,8 В
W024;J10.4;U2.BIN;BG95_TX_1V8;МГТФ 0,12 мм²;проверить 1,8 В
W025;U2.BOUT;U1 PB7;BG95_TX_3V3;МГТФ 0,12 мм²;UART 115200
W026;U1 PB1;Q1 gate;BG95_PWRKEY_CTL;МГТФ 0,12 мм²;open-drain
W027;Q1 drain;J10.5;PWRKEY;МГТФ 0,12 мм²;активный 0
W028;U1 PB4;Q2 gate;BG95_RESET_CTL;МГТФ 0,12 мм²;open-drain
W029;Q2 drain;J10.6;RESET_N;МГТФ 0,12 мм²;активный 0
W030;J10.7;U1 PB15;BG95_STATUS;МГТФ 0,12 мм²;уровень подтвержден входным контролем
W031;U1 PB12;J10.8;BG95_DTR;МГТФ 0,12 мм²;сон/пробуждение
W032;J12.2;U1 PA13;SWDIO;МГТФ 0,08-0,12 мм²;не переназначать
W033;J12.4;U1 PA14;SWCLK;МГТФ 0,08-0,12 мм²;не переназначать
W034;J12.5;U1 NRST;NRST;МГТФ 0,08-0,12 мм²;доступен при установленном U1
P001;J11.1;U1 5V/VIN;+5V;шина 0,35 мм²;4,75-5,25 В под нагрузкой
P002;U1 3V3;J1-9 3V3 pins;+3V3;лужёная Cu шина 0,35 мм²;3,20-3,40 В
P003;J11.2;все GND pins;GND;звезда + лужёная Cu шина 0,50 мм²;<0,1 Ом до каждой точки
P004;DC/DC 4V;BG95 EVB VBAT;MODEM_4V;отдельный XT30, 0,75 мм²;не проходит через плату 70×90
