Поз.;Элемент;Сторона;Координаты сетки;Ориентация;Монтаж;Контроль
J1;MIC1, JST-XH-8;компоненты;C1-C8 / R1;ключ наружу;вертикальный разъём;MIC1, L/R=LEFT
J2;MIC2, JST-XH-8;компоненты;C10-C17 / R1;ключ наружу;вертикальный разъём;MIC2, L/R=RIGHT
J3;MIC3, JST-XH-8;компоненты;C19-C26 / R1;ключ наружу;вертикальный разъём;MIC3, L/R=LEFT
J4;MIC4, JST-XH-8;компоненты;C28-C35 / R1;ключ наружу;вертикальный разъём;MIC4, L/R=RIGHT
U1;WeAct STM32U585CIU6;компоненты;C7-C27 / R9-R17;USB вправо;2 съёмные гребёнки 2,54 мм;до пайки измерить конкретную ревизию
U2;Преобразователь уровней 3,3/1,8 В, 2 канала;компоненты;C29-C33 / R9-R14;1,8 В к J10;панелька/штыри;ставить только если BG95 EVB не согласует уровни
Q1,Q2;2N7002 + резисторы PWRKEY/RESET;компоненты;C29-C33 / R15-R17;затворы к U1;пайка;open-drain, активный 0
J5;GNSS, JST-XH-6;компоненты;C1-C6 / R27;ключ наружу;угловой разъём;PPS обязателен
J6;SX1262, JST-XH-10;компоненты;C8-C17 / R27;ключ наружу;угловой разъём;RU868, SPI
J7;microSD, JST-XH-6;компоненты;C19-C24 / R27;ключ наружу;угловой разъём;SPI, отдельный CS
J8;BLE, JST-XH-4;компоненты;C26-C29 / R27;ключ наружу;угловой разъём;UART 3,3 В
J9;I2C, JST-XH-4;компоненты;C32-C35 / R27;ключ наружу;угловой разъём;INA226 + датчик температуры
J10;BG95 logic, JST-XH-8;компоненты;C35 / R9-R16;ключ вправо;угловой разъём;силовое питание BG95 сюда не заводить
J11;+5V carrier, JST-XH-2;компоненты;C34-C35 / R19;ключ вправо;разъём;0,35 мм², предохранитель во внешнем жгуте
J12;SWD, JST-XH-5;компоненты;C1 / R9-R13;ключ влево;угловой разъём;VTref=3,3 В
J13;TAMPER, JST-XH-2;компоненты;C34-C35 / R21;ключ вправо;разъём;геркон, опция EVT-MB
R1,R2;33 Ом BCLK/WS;компоненты;рядом с PA8/PA9;не критично;пайка;не далее 10 мм от гребёнки U1
R3,R4;4,7 кОм I2C pull-up;компоненты;рядом с J9;не критично;пайка;на 3,3 В
C1-C10;0,1 мкФ + локально 10 мкФ;компоненты;у разъёмов питания;короткая земля;пайка;проверить полярность 10 мкФ
TP1-TP6;3V3,GND,5V,BCLK,WS,PPS;компоненты;свободные площадки;маркировка;петля/штырь;доступ щупом после установки U1
