Net,From,To,Class,Notes
VBAT_RAW,BAT1,U9/U12/U13,POWER,10-16.8 V operating pack target
SOLAR_IN,PV1,U9,POWER,TVS/fuse/reverse protection before charger
V_CELL,U12,U2,POWER,Cellular rail sized for 2G transient
V3V3,U13,U1/U3/U4/U5/U6/U7/U8,POWER,RF domains optionally load-switched
V_MIC_1V8,U14,MIC1/MIC2/MIC3/MIC4,QUIET_POWER,Low-noise microphone rail
BG95_IO_1V8,U2,U15,POWER_IO,VDD_EXT/reference domain
PDM_CLK,U1:PE9,MIC1/MIC2/MIC3/MIC4:CLK,AUDIO,MDF1_CCK0 AF6
PDM_D1,MIC1:DATA,U1:PE4,AUDIO,MDF1_SDI3 AF6
PDM_D2,MIC2:DATA,U1:PE7,AUDIO,MDF1_SDI2 AF6
PDM_D3,MIC3:DATA,U1:PE10,AUDIO,MDF1_SDI4 AF6
PDM_D4,MIC4:DATA,U1:PE12,AUDIO,MDF1_SDI5 AF6
GNSS_PPS,U4:TIMEPULSE,U1:PA5,TIMING,TIM2_CH1 AF1
GNSS_TX,U4:TXD,U1:PD9,UART,USART3_RX
GNSS_RX,U1:PD8,U4:RXD,UART,USART3_TX
BG95_TX,U2:MAIN_TXD,U15,UART_1V8,then to U1 PA10
BG95_RX,U15,U2:MAIN_RXD,UART_1V8,from U1 PA9
LORA_SCK,U1:PD1,U3:SCK,SPI,SPI2
LORA_MOSI,U1:PD4,U3:MOSI,SPI,SPI2
LORA_MISO,U3:MISO,U1:PD3,SPI,SPI2
LORA_NSS,U1:PD0,U3:NSS,SPI,SPI2
FLASH_CLK,U1:PA3,U6:CLK,OSPI,verify CubeMX AF
FLASH_NCS,U1:PA4,U6:CS,OSPI,verify CubeMX AF
FLASH_IO0,U1:PB1,U6:IO0,OSPI,verify CubeMX AF
FLASH_IO1,U1:PB0,U6:IO1,OSPI,verify CubeMX AF
FLASH_IO2,U1:PA7,U6:IO2,OSPI,verify CubeMX AF
FLASH_IO3,U1:PA6,U6:IO3,OSPI,verify CubeMX AF
