"Reference","Value","Footprint","Quantity"
"C1-C15,C18-C53,C60-C68,C71-C78","1 uF 16 V X5R,10 nF 16 V X7R,10 nF 25 V X7R,10 pF 50 V C0G,10 uF 10 V X5R,100 nF 25 V X7R,100 pF 50 V C0G,100 uF 6.3 V 15 mOhm polymer,150 pF 50 V C0G,2.2 uF 10 V X5R,22 uF 10 V X5R,220 nF 25 V X7R,33 pF 50 V C0G,4.7 nF 100 V X7R,47 nF 25 V X7R,47 pF 25 V C0G,68 pF 50 V C0G","Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0603_1608Metric,Capacitor_SMD:C_0805_2012Metric","68"
"D1-D11","5 V bidirectional 0.2 pF RF ESD,5 V unidirectional 150 W TVS,5.5 V 0.5 pF ESD,5.5 V unidirectional 0.5 pF RF ESD","","11"
"FB1","600 Ohm at 100 MHz","Inductor_SMD:L_1206_3216Metric","1"
"FL1","1582.4 MHz wideband GNSS SAW","","1"
"J6-J13","2336582-1,504050-0291,MEM2052-00-195-00-A,U.FL-R-SMT-1(60),USB4105-GF-A-120","","8"
"J_MIC1-J_MIC4","504050-0691","","4"
"J_PWR?","43045-1202","","1"
"L1,L2","2.2 uH 20%,27 nH 5%","Inductor_SMD:L_0402_1005Metric,Inductor_SMD:L_1210_3225Metric","2"
"Q1-Q4","Complementary N and P channel 20 V,MMBT3904,215","","4"
"R1-R3,R5,R7-R97,R99-R103","0 Ohm,1 MOhm 1%,1 kOhm 1%,10 Ohm 5% 0.25 W,10 kOhm 1%,100 kOhm 1%,100 kOhm 5% 0.1 W,2.2 kOhm 1%,22 Ohm 1%,4.7 kOhm 1%,47 kOhm 1%,5.1 kOhm 1%,560 Ohm 5% 0.1 W","Resistor_SMD:R_0402_1005Metric,Resistor_SMD:R_1206_3216Metric","100"
"TP_BLE_SWD?","TEST_PADS","","1"
"TP_CELL_DBG?","TEST_PADS","","1"
"TP_CELL_USB?","TEST_PADS","","1"
"TP_EOL?","TEST_PADS","","1"
"TP_MCU_SWD?","TEST_PADS","","1"
"U1-U27","2 channel 0.7 pF USB ESD,4 channel 0.5 pF ESD,BG95-M3,E22-900M22S,ESDALC6V1-5P6,LIS2DW12TR,MAX-M10S-00B,MDBT50Q-P1MV2,SDCIT2/32GB,SN74AXC1T45DRLR,SN74AXC8T245PWR,SN74LVC32APWR,STM32U585VIT6Q,STTS22HTR,Single non-inverting open-drain buffer,Single rail-to-rail low-power op amp,TS3A27518EPWR,W25Q512JVFIQ","","27"
"X1","32.768 kHz full-swing LVCMOS","","1"
