Ref,Val,Package,PosX,PosY,Rot,Side
"TP_BLE_SWD","TEST_PADS","",84.000000,-23.000000,0.000000,bottom
"TP_CELL_DBG","TEST_PADS","",47.000000,-30.000000,0.000000,bottom
"TP_CELL_USB","TEST_PADS","",33.000000,-30.000000,0.000000,bottom
"TP_EOL","TEST_PADS","",33.000000,-23.000000,0.000000,bottom
"TP_MCU_SWD","TEST_PADS","",69.000000,-23.000000,0.000000,bottom
"C1","GRM155R71E104KE14D","",42.250000,-28.500000,0.000000,top
"C2","GRM155R71E104KE14D","",42.250000,-37.750000,0.000000,top
"C3","GRM155R71E104KE14D","",61.750000,-36.000000,0.000000,top
"C4","GRM155R71E104KE14D","",61.750000,-24.000000,0.000000,top
"C5","GRM155R71E104KE14D","",46.000000,-20.750000,0.000000,top
"C6","GRM188R61A106KE69D","",42.000000,-30.000000,0.000000,top
"C7","GRM155R71E104KE14D","",42.250000,-26.500000,0.000000,top
"C8","GRM155R71E104KE14D","",42.250000,-34.000000,0.000000,top
"C9","GRM155R61C105KA12D","",42.250000,-32.750000,0.000000,top
"C10","GRM155R71E104KE14D","",42.250000,-35.250000,0.000000,top
"C11","GRM155R61C105KA12D","",42.250000,-31.500000,0.000000,top
"C12","GRM155R71E104KE14D","",61.750000,-25.250000,0.000000,top
"C13","GRM188R61A106KE69D","",62.000000,-37.750000,0.000000,top
"C14","GRM155R61A225KE15D","",61.750000,-34.750000,0.000000,top
"C15","GRM155R61A225KE15D","",47.750000,-20.750000,0.000000,top
"C18","GRM155R71E104KE14D","",55.000000,-20.750000,0.000000,top
"C19","GRM21BR61A226ME44L","",15.000000,-27.750000,0.000000,top
"C20","GRM188R61A106KE69D","",14.500000,-26.000000,0.000000,top
"C21","GRM155R71E104KE14D","",69.000000,-28.250000,0.000000,top
"C22","GRM155R61C105KA12D","",69.000000,-27.000000,0.000000,top
"C23","GRM155R71E104KE14D","",66.750000,-28.500000,0.000000,top
"C24","GRM188R61A106KE69D","",68.500000,-30.000000,0.000000,top
"C25","GRM155R71E104KE14D","",66.750000,-27.250000,0.000000,top
"C26","GRM155R71E104KE14D","",67.000000,-38.500000,0.000000,top
"C27","GRM155R71E104KE14D","",56.750000,-40.250000,0.000000,top
"C28","GRM155R71E104KE14D","",62.750000,-40.250000,0.000000,top
"C29","GRM155R71E104KE14D","",64.750000,-41.750000,0.000000,top
"C30","GRM155R71E104KE14D","",50.000000,-42.500000,0.000000,top
"C31","GRM155R71E104KE14D","",52.750000,-44.250000,0.000000,top
"C32","GRM155R71E104KE14D","",54.500000,-44.250000,0.000000,top
"C33","GRM155R71E104KE14D","",19.000000,-29.250000,0.000000,top
"C34","GRM155R71E104KE14D","",19.000000,-28.000000,0.000000,top
"C35","GRM155R71E104KE14D","",19.000000,-34.250000,0.000000,top
"C36","T520D107M006ATE015","KEMET_T52X_D_7343-31_DensityB",32.750000,-34.500000,180.000000,top
"C37","GRM155R71E224KE14D","",6.750000,-52.500000,0.000000,top
"C38","GRM155R71E473KA01D","",6.750000,-51.000000,0.000000,top
"C39","GRM1555C1H151JA01D","",10.000000,-53.250000,0.000000,top
"C40","GRM1555C1H101JA01D","",10.000000,-49.500000,0.000000,top
"C41","GRM1555C1H680JA01D","",10.000000,-54.500000,0.000000,top
"C42","GRM1555C1H330JA01D","",38.000000,-55.500000,0.000000,top
"C43","GRM1555C1H100JA01D","",10.000000,-48.250000,0.000000,top
"C44","T520D107M006ATE015","KEMET_T52X_D_7343-31_DensityB",32.750000,-29.250000,0.000000,top
"C45","GRM155R71E104KE14D","",10.000000,-55.750000,0.000000,top
"C46","GRM1555C1H330JA01D","",38.000000,-56.750000,0.000000,top
"C47","GRM1555C1H100JA01D","",10.000000,-47.000000,0.000000,top
"C48","GRM155R71E103KA01D","",19.000000,-35.500000,0.000000,top
"C49","GRM155R71E104KE14D","",31.500000,-19.000000,0.000000,top
"C50","GRM155R71E104KE14D","",15.000000,-16.500000,0.000000,top
"C51","GRM155R71E104KE14D","",58.000000,-16.500000,0.000000,top
