"Reference","Value","Footprint","Quantity"
"C1-C21","100 nF 25 V X7R CGA2B3X7R1E104K050BB,100 nF 50 V X7R CGA3E2X7R1H104K080AA,100 uF 35 V hybrid EEH-ZK1V101XP,2.2 uF 10 V X7R CGA3E1X7R1A225K080AC,22 uF 25 V X7R CGA6P3X7R1E226M250AB,4.7 uF 50 V X7R CGA6P3X7R1H475K250AB","Capacitor_SMD:CP_Elec_6.3x7.7,Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0603_1608Metric,Capacitor_SMD:C_1210_3225Metric","21"
"D1","SMBJ18A CANDIDATE UNIDIRECTIONAL TVS","Diode_SMD:D_SMB","1"
"F1","0451008.MRL","Fuse:Fuse_1206_3216Metric","1"
"J1,J2","MAIN_PWR_43045-1202_12PIN,PWR_INPUT_43045-0213","DioneyaMain:Molex_43045-1202_MicroFit-12_RA,DioneyaPWR:Molex_43045-0213_MicroFit-2_Vertical","2"
"L1,L2","XAL7030-472MEC 4.7uH","DioneyaPWR:Coilcraft_XAL7030_472","2"
"NT1-NT3","2-pad copper net tie NET_TIE_COPPER_REV_A","NetTie:NetTie-2_SMD_Pad0.5mm","3"
"Q1","CSD18540Q5B","DioneyaPWR:CSD18540Q5B_DNK","1"
"R1-R4,R6-R8,R10-R12","0 ohm ERJ-2GE0R00X,10 kOhm 1% ERJ-2RKF1002X,100 kOhm 0.1% ERA-2AEB104X,100 kOhm 1% ERJ-2RKF1003X,35.7 kOhm 0.1% ERA-2AEB3572X,86.6 kOhm 0.1% ERA-2AEB8662X","Resistor_SMD:R_0402_1005Metric","10"
"RSH1","WSK2512R0100FEA 10mOhm 1% 1W 4T","DioneyaPWR:Vishay_WSK2512_4T_T1.19mm","1"
"U1-U5","INA226AIDGSR,LM74700QDBVRQ1,LMR604403SRAKR 3V3 AON,LMR604403SRAKR 3V8,TPS7A2018PDBVR 1V8_MIC","DioneyaMain:TI_DBV0005A_SOT23-5,DioneyaPWR:LMR60440_RAK0009A,DioneyaPWR:TI_DBV0006A_SOT23-6,DioneyaPWR:TI_DGS0010A_VSSOP10","5"
