Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF 25 V X7R CGA2B3X7R1E104K050BB","C_0402_1005Metric",20.000000,-26.000000,0.000000,top
"C2","100 nF 25 V X7R CGA2B3X7R1E104K050BB","C_0402_1005Metric",48.500000,-22.000000,0.000000,top
"C3","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",69.000000,-10.000000,0.000000,top
"C4","100 nF 25 V X7R CGA2B3X7R1E104K050BB","C_0402_1005Metric",57.800000,-14.030000,-90.000000,top
"C5","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",69.000000,-38.000000,0.000000,top
"C6","100 nF 25 V X7R CGA2B3X7R1E104K050BB","C_0402_1005Metric",57.800000,-42.030000,-90.000000,top
"C7","2.2 uF 10 V X7R CGA3E1X7R1A225K080AC","C_0603_1608Metric",74.400000,-50.000000,0.000000,top
"C8","2.2 uF 10 V X7R CGA3E1X7R1A225K080AC","C_0603_1608Metric",74.900000,-54.000000,0.000000,top
"C9","100 nF 50 V X7R CGA3E2X7R1H104K080AA","C_0603_1608Metric",16.000000,-26.750000,0.000000,top
"C10","4.7 uF 50 V X7R CGA6P3X7R1H475K250AB","C_1210_3225Metric",34.000000,-26.000000,0.000000,top
"C11","4.7 uF 50 V X7R CGA6P3X7R1H475K250AB","C_1210_3225Metric",49.000000,-14.000000,0.000000,top
"C12","4.7 uF 50 V X7R CGA6P3X7R1H475K250AB","C_1210_3225Metric",49.000000,-42.000000,0.000000,top
"C13","100 uF 35 V hybrid EEH-ZK1V101XP","CP_Elec_6.3x7.7",47.000000,-32.000000,0.000000,top
"C14","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",74.000000,-10.000000,0.000000,top
"C15","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",69.000000,-17.000000,0.000000,top
"C16","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",74.000000,-17.000000,0.000000,top
"C17","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",74.000000,-38.000000,0.000000,top
"C18","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",69.000000,-45.000000,0.000000,top
"C19","22 uF 25 V X7R CGA6P3X7R1E226M250AB","C_1210_3225Metric",74.000000,-42.250000,0.000000,top
"C20","100 nF 50 V X7R CGA3E2X7R1H104K080AA","C_0603_1608Metric",52.350000,-14.000000,90.000000,top
"C21","100 nF 50 V X7R CGA3E2X7R1H104K080AA","C_0603_1608Metric",52.350000,-42.000000,90.000000,top
"D1","SMBJ18A CANDIDATE","D_SMB",14.500000,-34.000000,90.000000,top
"F1","0451008.MRL","Fuse_1206_3216Metric",13.000000,-29.000000,0.000000,top
"J1","43045-0213","Molex_43045-0213_MicroFit-2_Vertical",6.000000,-28.000000,0.000000,top
"J2","43045-1202","Molex_43045-1202_MicroFit-12_RA",81.080000,-40.000000,-90.000000,top
"L1","XAL7030-472MEC","Coilcraft_XAL7030_472",62.500000,-14.000000,180.000000,top
"L2","XAL7030-472MEC","Coilcraft_XAL7030_472",62.500000,-42.000000,180.000000,top
"Q1","CSD18540Q5B","CSD18540Q5B_DNK",27.000000,-30.000000,0.000000,top
"R1","100 kOhm 0.1% ERA-2AEB104X","R_0402_1005Metric",56.000000,-19.000000,0.000000,top
"R2","35.7 kOhm 0.1% ERA-2AEB3572X","R_0402_1005Metric",58.500000,-19.000000,0.000000,top
"R3","86.6 kOhm 0.1% ERA-2AEB8662X","R_0402_1005Metric",50.500000,-19.000000,0.000000,top
"R4","0 ohm ERJ-2GE0R00X","R_0402_1005Metric",53.000000,-21.000000,0.000000,top
"R6","100 kOhm 1% ERJ-2RKF1003X","R_0402_1005Metric",48.000000,-18.500000,0.000000,top
"R7","86.6 kOhm 0.1% ERA-2AEB8662X","R_0402_1005Metric",50.000000,-47.000000,0.000000,top
"R8","0 ohm ERJ-2GE0R00X","R_0402_1005Metric",52.500000,-49.000000,0.000000,top
"R10","10 kOhm 1% ERJ-2RKF1002X","R_0402_1005Metric",58.000000,-47.000000,0.000000,top
"R11","100 kOhm 1% ERJ-2RKF1003X","R_0402_1005Metric",66.000000,-49.000000,0.000000,top
"R12","10 kOhm 1% ERJ-2RKF1002X","R_0402_1005Metric",68.500000,-49.000000,0.000000,top
"RSH1","WSK2512R0100FEA","Vishay_WSK2512_4T_T1.19mm",36.500000,-31.000000,0.000000,top
"U1","LM74700QDBVRQ1","TI_DBV0006A_SOT23-6",20.000000,-30.000000,0.000000,top
"U2","INA226AIDGSR","TI_DGS0010A_VSSOP10",44.000000,-23.000000,0.000000,top
"U3","LMR604403SRAKR","LMR60440_RAK0009A",55.000000,-14.000000,90.000000,top
"U4","LMR604403SRAKR","LMR60440_RAK0009A",55.000000,-42.000000,90.000000,top
"U5","TPS7A2018PDBVR","TI_DBV0005A_SOT23-5",74.400000,-46.000000,0.000000,top
