Serial,Attempt,Timestamp_UTC,HW_Rev,FW_Release,LoRa_Profile,Fixture_ID,Fixture_SW,Power_Result,Audio_Result,Timing_Result,Cellular_Result,LoRa_Result,BLE_Result,Mechanics_Result,Record_Result,Overall,Evidence_Directory_SHA256,Deviation_ID,Operator,Reviewer
DIO-EVT-001,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-002,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-003,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-004,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-005,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-006,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-007,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-008,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-009,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-010,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-011,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-012,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-013,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-014,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-015,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-016,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-017,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-018,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-019,1,,,,,,,,,,,,,,,NOT_RUN,,,,
DIO-EVT-020,1,,,,,,,,,,,,,,,NOT_RUN,,,,
