Serial,Primary_Process,Primary_Qty,Fallback_Process,Fallback_Qty_if_Activated,Fallback_Activation,Injection_Molding_Scope,Status
DIO-EVT-001,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-002,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-003,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-004,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-005,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-006,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-007,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-008,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-009,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-010,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-011,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-012,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-013,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-014,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-015,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-016,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-017,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-018,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-019,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
DIO-EVT-020,VACUUM_CASTING,1,3D_PRINT,1,CUSTOMER_APPROVED_CHANGE_IF_VACUUM_UNAVAILABLE,SOURCE_DATA_AND_DFM_ONLY,SELECTED_EVT_LOT_PRIMARY_NOT_RELEASED
