Serial,Lot,PCB_MAIN_SN,PCB_MAIN_REV,PCB_PWR_SN,PCB_PWR_REV,MIC1_SN,MIC2_SN,MIC3_SN,MIC4_SN,Housing_Technology,Housing_Rev,LoRa_Profile,Modem_IMEI,SIM1_ICCID_Ref,SIM2_ICCID_Ref,Preferred_SIM_Slot,APN_Mode,Battery_Lot,MPPT_Lot,FW_Release,Provisioning_Record,EOL_Record,Status
DIO-EVT-001,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-002,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-003,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-004,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-005,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-006,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-007,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-008,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-009,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-010,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-011,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-012,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-013,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-014,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-015,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-016,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-017,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-018,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-019,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
DIO-EVT-020,EVT-PRE-20,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,PLANNED
