Serial,Lot,PCB_MAIN_SN,PCB_MAIN_REV,PCB_PWR_SN,PCB_PWR_REV,MIC1_SN,MIC2_SN,MIC3_SN,MIC4_SN,Housing_Technology,Housing_Rev,LoRa_Profile,Modem_IMEI,SIM1_ICCID_Ref,SIM2_ICCID_Ref,Preferred_SIM_Slot,APN_Mode,Battery_Lot,MPPT_Lot,FW_Release,Provisioning_Record,EOL_Record,Status
DIO-EVT-021,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-022,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-023,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-024,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-025,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-026,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-027,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-028,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-029,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-030,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-031,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-032,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-033,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-034,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-035,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-036,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-037,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-038,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-039,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-040,EVT-PRE-20-LOT-2,,,,,,,,,VACUUM_CASTING_PRIMARY,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,SECOND_GROUP_RESERVED_AWAITING_BUILD
DIO-EVT-B01,BENCH,,,,,,,,,BENCH_FIXTURE,,RU868_LOCKED,,,,,PUBLIC_ONLY,,,,,,BENCH_UNIT_RESERVED
