source_group,source_files,label,expected_family,predicted_family,confidence,margin,correct
uploads/981a53c2-2afc-493b-9bfd-81d8f5c713ee/______.mp3,uploads/981a53c2-2afc-493b-9bfd-81d8f5c713ee/______.mp3,FP-1,PROP_PISTON,PROP_PISTON,0.827035,1.0,True
dataset/raw/стрельба из бронетранспортера/fbc3a3f2-2261-429b-8562-c9bc4f77f71e/strelba-iz-bronetransportera.wav,dataset/raw/стрельба из бронетранспортера/fbc3a3f2-2261-429b-8562-c9bc4f77f71e/strelba-iz-bronetransportera.wav,стрельба,IMPULSE_BACKGROUND,UNKNOWN,0.0,0.060937,False
dataset/raw/городской транспорт/aa46862f-6fd2-412e-aace-5c3f61f4fb19/shum-gorodskogo-transporta.wav,dataset/raw/городской транспорт/aa46862f-6fd2-412e-aace-5c3f61f4fb19/shum-gorodskogo-transporta.wav,городской транспорт,GROUND_ENGINE,UNKNOWN,0.0,0.088459,False
dataset/raw/цикады и насекомые/12d68760-dfb6-4f15-ab46-b3e1e3744391/elektronnyy-zvuk---atmosfera-s-cikadami.wav,dataset/raw/цикады и насекомые/12d68760-dfb6-4f15-ab46-b3e1e3744391/elektronnyy-zvuk---atmosfera-s-cikadami.wav,цикады и насекомые,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.140303,False
dataset/raw/трактор/5b92561d-c9b6-4b96-a5b6-e5668754e9e9/gusenichnyy-traktor-v-dvijenii.wav,dataset/raw/трактор/5b92561d-c9b6-4b96-a5b6-e5668754e9e9/gusenichnyy-traktor-v-dvijenii.wav,трактор,GROUND_ENGINE,UNKNOWN,0.0,0.062004,False
dataset/raw/цикады и насекомые/c13c1f78-3cf4-477b-81ba-c2d7c4070200/inoplanetnaya-cikada-loop.wav,dataset/raw/цикады и насекомые/c13c1f78-3cf4-477b-81ba-c2d7c4070200/inoplanetnaya-cikada-loop.wav,цикады и насекомые,BIOLOGICAL_BACKGROUND,UNKNOWN,0.394346,0.583388,False
dataset/raw/птицы/7a52d709-22f1-4581-acc4-6f3bed92f574/ivolga-severnaya-poet-oriole.wav,dataset/raw/птицы/7a52d709-22f1-4581-acc4-6f3bed92f574/ivolga-severnaya-poet-oriole.wav,птицы,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.128119,False
dataset/raw/птицы/1c8e4815-0374-433a-ba9b-ca6000f0e256/ivolga.wav,dataset/raw/птицы/1c8e4815-0374-433a-ba9b-ca6000f0e256/ivolga.wav,птицы,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.083177,False
dataset/raw/птицы/46c34d73-566d-4db2-9dc4-973f78849f57/solovey-i-zaryanka-u-lesnogo-ruchya.wav,dataset/raw/птицы/46c34d73-566d-4db2-9dc4-973f78849f57/solovey-i-zaryanka-u-lesnogo-ruchya.wav,птицы,BIOLOGICAL_BACKGROUND,UNKNOWN,0.0,0.172169,False
dataset/raw/трактор/d16cbb7c-7af9-4141-931c-4889bcf5fcd9/staryy-traktor.wav,dataset/raw/трактор/d16cbb7c-7af9-4141-931c-4889bcf5fcd9/staryy-traktor.wav,трактор,GROUND_ENGINE,UNKNOWN,0.0,0.032219,False
